precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
32,"SATU MARE","CAMINUL CULTURAL",196,DOBA,137611,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:34:54",428,428,0,254,239,0,15,470,216,239,15,3,9,2,80,0,5,31,1,2,12,0,6,1,1,85,1
32,"SATU MARE","CĂMINUL CULTURAL",170,CĂUAŞ,137292,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:25:02",127,124,3,99,85,3,11,140,41,90,9,0,4,0,10,2,5,1,0,1,1,0,0,1,1,63,1
32,"SATU MARE","CĂMINUL CULTURAL",179,CIUMEŞTI,179882,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:00:01",1124,1124,0,701,685,0,16,1230,529,631,70,1,570,1,13,1,5,1,1,2,5,0,1,0,1,28,1
32,"SATU MARE","CĂMINUL CULTURAL",167,CĂUAŞ,137292,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:45:12",110,98,12,60,48,0,12,110,50,55,5,0,25,0,8,0,2,1,1,1,3,0,0,0,0,14,0
32,"SATU MARE","CĂMINUL CULTURAL",168,CĂUAŞ,137292,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:22:37",1016,1009,7,668,638,7,23,1156,488,642,26,1,470,0,24,2,16,1,2,0,6,1,4,2,2,110,1
32,"SATU MARE","CĂMINUL CULTURAL AMAȚI",255,PĂULEŞTI,138431,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:27:52",948,948,0,507,485,0,22,993,486,481,26,5,94,10,46,3,14,7,2,7,27,1,9,1,5,249,1
32,"SATU MARE","CĂMINUL CULTURAL BABA NOVAC",93,"ORAŞ ARDUD",136848,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:51:39",467,467,0,224,214,0,10,567,343,214,10,2,11,0,25,1,22,1,0,3,22,1,0,1,0,124,1
32,"SATU MARE","CĂMINUL CULTURAL BOCICĂU",303,"TARNA MARE",139009,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:20:46",496,496,0,231,221,0,10,500,269,205,26,3,3,0,18,1,2,2,1,7,8,2,0,0,2,154,2
32,"SATU MARE","CĂMINUL CULTURAL BOLDA",138,BELTIUG,136964,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:43:32",35,35,0,41,18,0,23,50,9,38,3,0,2,0,4,0,1,0,0,0,1,0,0,0,1,28,1
32,"SATU MARE","CAMINUL CULTURAL CUTA",291,SOCOND,138869,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:51:07",243,243,0,184,156,0,28,273,101,171,1,0,4,0,13,0,3,4,1,1,0,0,0,0,0,145,0
32,"SATU MARE","CAMINUL CULTURAL DIN DECEBAL",333,VETIŞ,139358,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:02:47",1182,1178,4,678,645,2,31,1300,622,658,20,7,21,12,93,7,26,15,0,21,35,1,24,3,1,389,3
32,"SATU MARE","CĂMINUL CULTURAL GERĂUŞA",94,"ORAŞ ARDUD",136848,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:23:57",417,417,0,201,194,0,7,517,316,184,17,5,3,0,40,1,11,1,0,3,12,0,4,0,0,102,2
32,"SATU MARE","CĂMINUL CULTURAL GIUNGI",140,BELTIUG,136964,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:08:27",120,120,0,74,66,0,8,150,76,67,7,1,8,6,14,1,2,0,1,0,0,1,0,0,0,33,0
32,"SATU MARE","CAMINUL CULTURAL HODISA",292,SOCOND,138869,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:10:00",160,160,0,142,116,0,26,181,39,134,8,0,3,2,15,0,2,5,2,0,1,0,4,0,2,98,0
32,"SATU MARE","CĂMINUL CULTURAL OAR",334,VETIŞ,139358,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:02:47",1389,1388,1,857,842,1,14,1520,663,833,24,2,699,3,9,0,1,2,1,1,10,3,1,0,0,101,0
32,"SATU MARE","CĂMINUL CULTURAL ODOREU",242,ODOREU,138280,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:21:04",1560,1549,11,797,773,11,13,1650,853,760,37,9,139,19,72,7,35,19,7,5,37,0,13,2,7,387,2
32,"SATU MARE","CĂMINUL CULTURAL SOMEȘENII",131,APA,136802,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:05",223,223,0,175,157,0,18,259,84,163,12,1,6,3,26,2,6,2,2,0,7,0,5,0,0,103,0
32,"SATU MARE","CAMINUL CULTURAL VALEA VINULUI",325,"VALEA VINULUI",139287,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:50:20",620,620,0,414,375,0,39,647,233,390,24,2,15,5,70,0,64,4,2,2,15,0,13,0,3,192,3
32,"SATU MARE","CĂMINUL CULTURAL VEZENDIU",313,TIREAM,139107,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:44:57",353,353,0,185,172,0,13,400,215,158,27,1,34,1,31,1,1,0,1,9,8,0,1,2,0,68,0
32,"SATU MARE","CASA DE CULTURĂ",115,"ORAŞ TĂŞNAD",136642,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:32",1707,1707,0,961,922,0,39,1850,889,896,65,2,353,6,65,1,20,11,1,8,19,3,5,1,1,398,2
32,"SATU MARE","CASĂ DE LOCUIT",171,CĂUAŞ,137292,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:27:09",86,86,0,49,38,0,11,100,51,46,3,0,3,0,19,0,2,0,0,1,2,0,0,2,0,17,0
32,"SATU MARE","CASĂ DE LOCUIT MICULA NOUA",236,MICULA,138164,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:22",619,619,0,311,284,0,27,796,485,284,27,8,18,2,68,1,9,1,0,3,17,4,5,0,2,146,0
32,"SATU MARE","CASA DE TIP FAMILIAL” IRIS”",245,ODOREU,138280,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:47",124,124,0,76,70,0,6,160,84,70,6,1,19,0,6,0,2,0,0,2,3,1,0,0,0,36,0
32,"SATU MARE","CENTRU CULTURAL ”EMIL MATEI” APA",129,APA,136802,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:22:48",1023,1023,0,654,617,0,37,1125,471,621,33,9,117,12,76,11,22,5,3,11,18,4,5,1,11,316,0
32,"SATU MARE","CENTRU CULTURAL TURISTIC",234,MICULA,138164,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:10:40",1189,1189,0,677,674,0,3,1215,538,644,33,0,477,3,50,0,3,1,1,1,18,5,2,0,0,83,0
32,"SATU MARE","CENTRU DE ZI INGRIJIRE BATRANI",309,TEREBEŞTI,139054,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:49:45",450,450,0,319,289,0,30,450,131,307,12,1,12,13,49,6,20,3,0,2,18,2,7,0,1,171,2
32,"SATU MARE","CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE",48,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:59:23",1648,1648,0,862,840,0,22,1800,938,840,22,0,582,15,47,2,38,19,4,8,10,2,4,1,1,107,0
