precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",171,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:46:26",1313,1313,0,484,468,0,16,1449,965,470,14,4,19,7,48,16,0,10,18,74,13,3,2,6,233,13,4
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",169,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:32",1378,1378,0,532,528,0,4,1522,990,509,23,3,13,2,45,15,4,38,19,71,25,4,3,8,233,25,1
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",173,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:37",1370,1370,0,538,532,0,6,1513,979,525,9,3,18,5,55,17,2,26,22,51,33,7,3,8,261,11,3
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",168,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:17:48",1458,1458,0,582,576,0,6,1607,1025,562,20,3,25,2,50,27,5,32,17,67,30,3,2,3,264,28,4
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",170,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:13",1449,1449,0,557,548,0,9,1596,239,540,17,5,21,3,72,14,3,19,23,75,38,4,4,8,229,16,6
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",174,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:13:40",1261,1261,0,473,459,0,14,1386,913,453,20,3,17,2,55,9,5,18,19,58,39,4,1,4,199,13,7
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",172,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:24:50",1332,1332,0,531,518,0,13,1478,947,511,20,2,22,2,62,19,7,31,10,43,24,0,2,5,261,18,3
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”MIRON COSTIN” (ȘCOALA GENERALĂ ”MIRON COSTIN” - ȘCOALA GENERALĂ NR.12)",165,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:29:23",1433,1433,0,569,563,0,6,1583,1014,550,19,2,30,4,73,15,4,22,25,74,32,0,1,3,243,21,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ”NEGOIŢĂ DĂNĂILĂ”",329,IVEŞTI,76601,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:56:47",1885,1885,0,813,778,0,35,2075,1262,777,36,1,12,3,23,8,5,39,12,92,6,1,1,1,569,2,2
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NICOLAE BĂLCESCU",199,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:28:54",1077,1077,0,514,505,0,9,1189,675,481,33,2,5,0,17,3,7,38,5,60,0,2,2,0,332,3,5
