precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALA NR.1 IZVOARELE",163,IZVOARELE,103899,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:12:36",998,909,89,713,539,0,174,1000,287,692,21,0,0,0,0,0,0,23,0,0,0,0,0,669,0,0,0
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 1 JOIȚA",169,JOIŢA,103997,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:38:23",1858,1847,11,1222,1144,11,67,2029,807,1143,79,15,52,14,9,8,3,159,43,56,53,5,1,610,18,83,14
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MALU SPART",55,"ORAŞ BOLINTIN-VALE",101190,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:48:46",1405,1405,0,599,590,0,9,1538,939,568,31,15,7,2,7,1,3,73,20,13,34,0,2,361,16,6,8
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MALU SPART",56,"ORAŞ BOLINTIN-VALE",101190,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:45:17",1534,1534,0,647,629,0,18,1689,1042,593,54,22,11,2,11,2,2,58,18,12,43,4,8,371,14,3,12
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",176,MÂRŞA,104225,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:56:33",934,934,0,662,596,0,66,1025,363,622,40,5,1,12,1,2,2,48,60,7,24,3,4,437,3,6,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",177,MÂRŞA,104225,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:32:05",1172,1172,0,828,782,0,46,1293,465,785,43,7,7,10,2,0,0,72,73,9,29,3,2,538,9,9,15
19,GIURGIU,"SCOALA GIMNAZIALA NR.1 POENARI",228,ULMI,105623,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:39",1103,1103,0,656,625,0,31,1210,554,641,15,6,111,5,6,0,4,125,66,11,23,4,4,240,9,17,10
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 POPEŞTI",63,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 11:37:57",821,821,0,698,659,0,39,887,189,644,54,10,0,5,0,0,0,47,10,2,20,2,4,533,9,0,2
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 ROATA DE JOS",197,"ROATA DE JOS",104831,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:23:40",945,943,2,661,637,2,22,1039,378,594,67,1,3,8,10,1,1,78,12,12,25,2,1,430,1,6,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 1 ROATA DE JOS",196,"ROATA DE JOS",104831,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:21:54",899,898,1,618,595,1,22,987,369,591,27,9,8,6,5,3,1,75,9,5,27,1,1,425,5,7,4
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 SABARENI",204,SĂBĂRENI,179775,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:06:03",1147,1147,0,916,802,0,114,1258,342,895,21,3,7,9,9,1,2,96,41,18,38,2,2,603,13,37,14
