precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:58:44",1373,1373,0,630,612,0,18,1523,893,618,12,46,4,5,2,12,19,119,1,9,81,11,12,44,212,21,20
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:04:44",1711,1711,0,919,894,0,25,1800,881,900,19,91,3,5,6,11,19,147,7,5,160,22,25,36,288,40,35
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:11:41",1286,1286,0,577,552,0,25,1400,819,564,13,57,2,5,4,14,12,102,5,4,64,8,17,63,172,13,22
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:55:29",1195,1195,0,629,611,0,18,1316,687,610,19,53,1,4,2,8,11,107,4,6,63,7,16,134,155,18,21
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:13",437,437,0,327,289,0,38,500,173,308,18,5,0,1,0,1,1,7,2,1,79,1,19,5,179,6,1
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:09:37",1139,1139,0,617,586,0,31,1300,683,582,35,15,11,6,5,4,16,22,13,7,109,1,29,9,321,7,7
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:06:31",494,494,0,261,217,0,44,500,240,219,41,0,1,0,0,0,2,2,0,2,34,5,8,0,163,2,0
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:45",1913,1913,0,922,899,0,23,2000,1078,889,33,31,9,2,3,6,27,46,14,25,169,4,43,17,452,24,17
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:47:16",592,592,0,322,302,0,20,600,278,296,25,7,0,0,1,1,6,27,4,5,60,1,11,7,157,2,7
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:58",315,315,0,155,149,0,6,400,245,146,9,4,0,1,1,0,1,3,6,0,9,1,14,40,60,5,1
