precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:04:48",514,514,0,396,345,0,51,550,154,367,29,6,35,1,14,6,0,1,177,8,8,4,2,22,2,3,78
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",287,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:13",833,833,0,498,477,0,21,900,402,473,25,0,3,0,7,3,0,0,24,3,2,422,0,0,0,0,9
33,SĂLAJ,"BAZA SPORTIVĂ",63,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:33",753,753,0,442,433,0,9,806,364,423,19,3,16,1,24,2,1,9,259,18,4,9,2,10,3,7,55
33,SĂLAJ,"CAMIN CULTURAL",159,GÂLGĂU,141134,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:08:29",366,366,0,233,198,0,35,445,212,215,18,1,8,0,16,0,0,0,138,1,2,2,0,0,0,1,46
33,SĂLAJ,"CAMIN CULTURAL",157,GÂLGĂU,141134,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:27:54",146,146,0,112,97,0,15,200,88,105,7,0,9,1,2,1,0,0,82,0,0,1,0,2,0,0,7
33,SĂLAJ,"CĂMIN CULTURAL",284,ŞAMŞUD,142854,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:36",898,898,0,555,544,0,11,950,395,531,24,0,0,0,0,0,0,0,18,0,1,508,0,1,0,0,3
33,SĂLAJ,"CĂMIN CULTURAL",83,BĂNIŞOR,140208,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:43",477,477,0,299,287,0,12,550,251,275,24,3,17,0,7,9,1,3,144,10,4,1,1,4,2,5,64
33,SĂLAJ,"CĂMIN CULTURAL",243,PERICEI,142284,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:03:37",543,543,0,319,291,0,28,600,281,303,16,0,17,2,11,4,1,2,182,19,9,9,5,1,1,2,38
33,SĂLAJ,"CAMIN CULTURAL ALEUS",168,HALMĂŞD,141312,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:09:24",221,221,0,162,146,0,16,250,88,142,20,0,6,1,5,2,2,0,100,2,5,0,0,2,0,0,17
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:26:33",340,340,0,213,197,0,16,400,187,198,15,3,26,3,21,6,1,0,71,3,15,2,1,1,1,2,42
33,SĂLAJ,"CAMIN CULTURAL BOGDANA",100,BUCIUMI,140379,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:42:22",370,370,0,296,247,0,49,450,154,252,44,1,4,0,5,3,1,2,166,9,2,1,3,1,0,4,50
33,SĂLAJ,"CAMIN CULTURAL BULGARI",260,SĂLĂŢIG,142550,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:24:05",169,169,0,120,103,0,17,200,80,112,8,0,2,1,0,1,1,0,75,3,0,1,0,0,0,0,28
33,SĂLAJ,"CĂMIN CULTURAL COSNICIU DE JOS",200,IP,141722,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:51:27",507,507,0,280,277,0,3,550,270,259,21,0,38,1,16,4,0,0,118,6,11,9,1,6,1,0,48
33,SĂLAJ,"CĂMIN CULTURAL CUCIULAT",206,LETCA,141786,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:20:26",127,127,0,96,77,0,19,150,54,91,5,0,16,0,3,1,0,1,52,0,0,0,0,1,0,1,16
33,SĂLAJ,"CAMIN CULTURAL HALMASD",167,HALMĂŞD,141312,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:53:28",826,826,0,547,517,0,30,900,353,499,48,6,25,0,30,6,1,1,343,9,13,3,1,9,2,3,47
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",185,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:26:35",770,770,0,544,479,0,65,850,306,507,37,4,18,3,8,11,1,1,249,13,5,144,2,5,3,3,37
33,SĂLAJ,"CAMIN CULTURAL MINEU",262,SĂLĂŢIG,142550,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:58:30",255,255,0,147,134,0,13,300,153,140,7,0,1,0,2,3,0,1,66,0,0,54,0,0,1,0,12
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:57:09",316,316,0,274,206,0,68,400,126,259,15,0,13,1,12,2,0,0,155,17,4,0,0,2,1,1,51
33,SĂLAJ,"CĂMIN CULTURAL ROMITA",255,ROMÂNAŞI,142426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:20:46",245,245,0,122,96,0,26,300,178,118,4,1,3,0,5,1,0,0,74,5,1,0,0,0,0,0,28
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",102,BUCIUMI,140379,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:20:18",205,205,0,188,139,0,49,250,62,175,13,1,3,0,6,1,0,0,107,12,1,1,2,3,3,0,35
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",214,LOZNA,141884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:28",132,132,0,143,77,0,66,160,17,134,9,0,1,2,3,0,0,0,71,4,2,0,1,1,0,0,49
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:31",393,393,0,257,247,0,10,450,193,252,5,0,13,1,6,5,1,1,173,8,1,6,2,3,0,0,32
33,SĂLAJ,"CAMINUL CULTURAL",184,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:02:02",225,225,0,143,142,0,1,300,157,136,7,1,12,1,4,1,0,0,76,3,1,5,0,2,0,2,28
33,SĂLAJ,"CĂMINUL CULTURAL",179,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:33:52",14,14,0,42,5,0,37,50,8,40,2,1,2,1,2,0,0,0,22,3,1,1,1,1,0,0,5
33,SĂLAJ,"CĂMINUL CULTURAL",188,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:17:43",185,185,0,164,110,0,54,250,86,159,5,1,3,1,6,0,1,4,101,8,1,1,0,0,2,1,29
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:15:01",305,305,0,166,144,0,22,349,183,157,9,0,0,6,4,2,0,0,91,14,0,5,2,1,0,0,32
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:49:25",91,91,0,69,46,0,23,150,81,66,3,0,7,0,3,2,1,0,30,3,2,2,0,0,0,0,16
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:29:28",364,364,0,216,187,0,29,468,252,204,12,0,6,0,5,1,0,0,67,6,0,93,1,1,0,3,21
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:46",99,99,0,64,54,0,10,150,86,60,4,0,3,0,2,5,1,0,39,0,2,1,1,2,0,0,4
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:09:04",86,86,0,83,57,0,26,150,67,79,4,0,0,0,1,0,0,0,67,2,0,1,0,0,0,0,8
33,SĂLAJ,"CĂMINUL CULTURAL",240,NUŞFALĂU,142239,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:47:48",309,309,0,214,209,0,5,350,136,195,19,0,0,1,0,1,1,0,6,0,0,177,1,1,0,0,7
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:03",206,206,0,124,122,0,2,250,126,118,6,0,13,0,3,3,0,0,74,2,4,1,2,1,2,0,13
33,SĂLAJ,"CĂMINUL CULTURAL",166,GÂRBOU,141232,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:23:02",261,261,0,200,179,0,21,300,100,180,20,0,7,0,4,1,2,0,122,7,1,2,4,0,2,1,27
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:31:03",58,58,0,58,39,0,19,100,42,51,7,1,6,0,0,0,0,0,16,1,1,16,0,1,0,0,9
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:09:35",206,206,0,139,132,0,7,250,111,132,7,0,1,0,0,0,1,0,6,0,0,122,0,0,0,0,2
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",278,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:39",215,215,0,213,150,0,63,300,87,207,6,1,9,0,4,1,0,0,152,15,1,0,0,4,0,0,20
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",163,GÂRBOU,141232,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:52:20",139,139,0,93,75,0,18,200,107,89,4,0,1,0,0,2,1,1,60,2,1,1,0,0,0,0,20
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:36:11",444,444,0,396,339,0,57,550,154,368,28,1,22,3,30,3,3,0,241,13,0,4,0,8,4,3,33
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:15",429,429,0,294,274,0,20,500,206,287,7,0,4,0,4,2,0,0,29,1,1,223,0,3,0,5,15
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:51:25",550,550,0,383,358,0,25,600,217,370,13,0,4,0,10,3,0,0,110,9,1,187,0,3,1,1,41
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:39:18",277,277,0,164,157,0,7,350,186,161,3,0,0,0,3,0,0,0,13,0,1,141,0,0,0,0,3
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:24:14",38,38,0,45,29,0,16,50,5,43,2,1,2,0,3,0,0,0,25,1,0,1,0,0,1,0,9
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:05",501,501,0,269,254,0,15,560,291,216,53,1,3,0,28,0,3,0,135,5,0,5,2,0,0,2,32
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",230,MIRŞID,142122,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:48",135,135,0,111,85,0,26,151,40,101,10,0,1,1,2,3,1,0,58,5,0,2,0,0,1,0,27
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",265,SÂG,142612,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:41:39",251,251,0,143,136,0,7,300,157,125,18,2,5,5,7,1,1,0,48,3,3,1,0,1,5,4,39
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:18:26",83,83,0,83,60,0,23,100,17,79,4,0,3,0,1,0,0,1,62,0,2,1,2,1,0,0,6
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",294,ŞIMIŞNA,179695,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:23:10",181,181,0,124,113,0,11,250,126,112,12,1,1,0,1,2,0,0,83,3,0,1,0,1,1,1,17
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:13",515,515,0,351,328,0,23,550,199,330,21,2,19,0,8,14,1,1,143,50,7,27,2,8,3,1,44
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",275,SOMEŞ-ODORHEI,142710,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:09:39",480,480,0,321,287,0,34,551,230,298,23,4,19,0,17,2,3,0,196,2,4,2,1,3,0,3,42
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:27:01",277,277,0,293,230,0,63,350,57,281,12,1,1,1,4,1,0,0,20,0,2,242,0,0,0,0,9
33,SĂLAJ,"CĂMINUL CULTURAL MIRŞID",229,MIRŞID,142122,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:37:15",566,566,0,421,390,0,31,600,179,394,27,2,13,0,13,4,1,1,260,18,1,26,0,2,1,0,52
33,SĂLAJ,"CĂMINUL CULTURAL MOIAD",292,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:58:54",169,169,0,101,95,0,6,200,99,99,2,0,5,0,6,0,1,1,58,3,2,3,0,3,0,2,15
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:54:12",15,15,0,20,6,0,14,50,30,20,0,0,3,0,0,0,0,0,13,2,0,1,0,0,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:37:58",884,884,0,609,578,0,31,950,341,594,15,3,8,0,10,1,1,0,93,15,1,446,0,1,1,2,12
33,SĂLAJ,"CĂMINUL CULTURAL ”PETŐFI SÁNDOR”",114,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:20",1883,1883,0,1288,1194,0,94,2000,712,1265,23,1,9,2,1,0,3,1,52,6,2,1155,1,4,1,2,25
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:19:49",85,85,0,77,58,0,19,150,73,75,2,0,1,0,2,1,1,0,10,1,0,52,0,0,0,0,7
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:46:54",791,791,0,514,488,0,26,854,340,452,62,0,18,1,34,2,2,26,249,18,8,2,9,4,4,4,71
33,SĂLAJ,"CĂMINUL CULTURAL POPENI",232,MIRŞID,142122,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:40",747,747,0,486,463,0,23,800,314,435,51,4,29,0,24,1,0,1,265,10,1,6,3,6,3,3,79
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",303,VÂRŞOLŢ,143021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:17",447,447,0,344,287,0,57,550,206,322,22,0,5,1,16,5,4,0,118,7,6,61,1,9,6,2,81
33,SĂLAJ,"CĂMINUL CULTURAL RUGINOASA, NR.22",138,CUZĂPLAC,140869,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:16:11",54,54,0,57,31,0,26,100,43,51,6,2,3,0,0,0,0,0,30,1,1,1,0,1,0,0,12
33,SĂLAJ,"CĂMINUL CULTURAL SÂNCRAIU ALMAȘULUI",311,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:12:38",132,132,0,96,83,0,13,150,54,86,10,0,5,0,2,1,0,0,59,1,1,2,0,3,1,0,11
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",276,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:37:35",287,287,0,169,142,0,27,350,181,153,16,0,4,0,4,2,2,0,114,3,1,1,1,4,0,1,16
33,SĂLAJ,"CĂMINUL CULTURAL SOLONA",280,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:04:39",178,178,0,160,119,0,41,250,90,150,10,0,0,0,5,1,1,1,126,2,2,3,0,2,0,0,7
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",272,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:00",1135,1135,0,690,646,0,44,1200,510,642,48,5,112,1,29,4,4,0,246,19,14,10,5,10,2,2,179
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:16:12",90,90,0,81,61,0,20,150,69,80,1,0,3,0,1,0,0,0,8,0,1,63,0,1,1,0,2
33,SĂLAJ,"CĂMINUL CULTURAL ŞUMAL",218,MARCA,141946,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:10",390,390,0,271,266,0,5,450,179,250,21,0,9,0,9,13,3,5,148,11,5,4,0,6,2,0,35
33,SĂLAJ,"CĂMINUL CULTURAL SURDUC",277,SURDUC,142774,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:09:05",1069,1069,0,905,730,0,175,1150,245,830,75,2,19,0,23,4,1,2,630,25,2,10,0,10,6,3,93
33,SĂLAJ,"CĂMINUL CULTURAL SUTORU",312,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:52:33",98,98,0,75,66,0,9,150,75,69,6,1,2,0,1,3,0,0,46,1,1,1,0,1,0,0,12
33,SĂLAJ,"CĂMINUL CULTURAL TEȘTIOARA",281,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:16",60,60,0,60,34,0,26,100,40,59,1,0,0,0,1,0,0,0,50,3,0,0,0,0,0,0,5
