precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT OSTROVENI II",66,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:11",1256,1256,0,557,541,0,16,1390,833,539,18,10,3,5,18,20,14,6,55,118,1,7,5,231,9,2,35
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT OSTROVENI II",67,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:12:25",1327,1327,0,573,557,0,16,1460,887,547,26,7,6,4,15,17,11,4,49,100,1,4,3,260,19,4,43
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT, SAT TĂTĂRANI, ORAȘ BĂBENI",112,"ORAŞ BĂBENI",168372,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:41:28",462,461,1,278,266,0,12,510,232,270,8,7,1,0,4,2,5,1,9,57,1,0,1,161,10,0,11
40,VÂLCEA,"GRĂDINIȚA CU PROGROGRAM NORMAL SAT LINIA",178,BUDEŞTI,168791,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:09:47",907,907,0,462,452,0,10,1000,538,443,19,2,0,4,12,6,8,5,32,73,2,1,1,238,11,3,45
40,VÂLCEA,"GRĂDINIŢA DEZROBIŢI",229,FRÂNCEŞTI,169896,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:07:38",547,546,1,337,321,1,15,520,183,297,40,4,1,1,2,0,3,2,5,88,1,1,2,160,2,5,20
40,VÂLCEA,"GRĂDINIŢA DOBRUŞA DE SUS",398,ŞTEFĂNEŞTI,173748,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:18:04",453,453,0,330,302,0,28,500,170,299,31,4,0,2,2,4,0,1,7,50,1,1,2,207,0,2,16
40,VÂLCEA,"GRĂDINIŢA GRECI",285,MATEEŞTI,171067,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:05",449,449,0,320,275,0,45,500,180,287,33,2,0,3,7,2,0,5,8,38,1,2,0,185,8,0,26
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:19:49",858,858,0,428,419,0,9,950,522,414,14,3,0,1,3,9,10,6,26,153,2,8,2,150,5,10,26
40,VÂLCEA,"GRĂDINIŢA IZBĂŞEŞTI",304,MILCOIU,171469,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:53",168,168,0,143,116,0,27,190,47,133,10,0,0,0,3,1,0,2,1,55,0,0,1,62,1,2,5
40,VÂLCEA,"GRĂDINIȚA MIHĂEȘTI",296,MIHĂEŞTI,171325,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:22:18",992,930,62,557,497,45,15,1030,473,534,23,6,5,4,14,8,1,3,15,60,0,2,4,374,8,5,25
40,VÂLCEA,"GRĂDINIŢA MILEŞTI",219,FĂUREŞTI,169583,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:22",485,485,0,295,281,0,14,540,245,276,19,1,0,0,5,2,3,2,6,44,0,0,1,195,2,0,15
40,VÂLCEA,"GRĂDINIŢA NEGRENI",230,FRÂNCEŞTI,169896,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:09",371,371,0,241,234,0,7,410,169,220,21,1,1,0,3,1,3,1,5,32,0,0,2,156,4,0,11
40,VÂLCEA,"GRĂDINIŢA ŞERBĂNEŞTI",399,ŞTEFĂNEŞTI,173748,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:38:11",653,630,23,433,386,23,24,690,257,406,27,3,1,7,1,0,3,2,10,85,1,0,0,278,3,1,11
40,VÂLCEA,"GRĂDINIŢA SILEA",321,ORLEŞTI,171879,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:00:41",839,821,18,556,525,18,13,900,344,503,53,2,1,1,3,2,6,4,5,49,0,4,3,332,6,57,28
40,VÂLCEA,"GRĂDINIŢA STUPĂREI",300,MIHĂEŞTI,171325,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:42:38",774,762,12,422,410,0,12,830,408,387,35,1,0,0,6,1,5,6,4,63,1,4,4,249,7,5,31
40,VÂLCEA,"GRĂDINIŢA ULMETU",196,COPĂCENI,169182,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:50",1052,1052,0,679,624,0,55,1160,481,624,55,5,0,3,9,0,2,6,16,137,2,2,10,386,9,2,35
40,VÂLCEA,"GRĂDINIŢA VALEA MARE",420,"VALEA MARE",174085,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:25:27",499,488,11,367,307,11,49,540,173,333,34,3,2,2,3,1,1,0,17,44,0,1,1,240,8,0,10
40,VÂLCEA,"GRĂDINIŢA VIIŞOARA",233,FRÂNCEŞTI,169896,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:22:32",219,219,0,149,138,0,11,240,91,136,13,1,2,0,1,0,1,1,8,21,0,0,1,91,0,0,9
40,VÂLCEA,"GRUP ȘCOLAR PREDA BUZESCU",130,"ORAŞ BERBEŞTI",168602,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:09:07",868,868,0,451,446,0,5,960,509,420,31,50,0,3,8,3,4,1,17,65,0,0,1,238,4,0,26
40,VÂLCEA,"LICEUL CONSTANTIN BRÂNCOVEANU",147,"ORAŞ HOREZU",168041,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:59:50",1167,1167,0,688,642,0,46,1249,562,657,30,4,5,3,28,18,13,6,86,100,2,9,5,315,14,8,41
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",12,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:46:48",1169,1168,1,544,533,0,11,1300,756,524,20,7,3,7,18,19,12,5,34,105,0,5,4,240,18,8,39
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",11,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:21:03",940,940,0,426,417,0,9,1030,604,413,13,1,5,2,14,19,8,7,50,82,5,5,4,176,10,2,23
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",9,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:06:50",972,972,0,424,405,0,19,1070,646,404,20,5,4,3,8,19,9,4,38,82,0,7,2,170,22,0,31
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",13,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:35:06",783,767,16,334,318,16,0,840,506,324,10,3,2,3,9,17,4,7,30,64,3,1,1,147,15,2,16
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",10,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:53:06",998,998,0,447,433,0,14,1100,653,433,14,3,4,5,10,18,7,0,35,104,3,5,3,177,20,2,37
40,VÂLCEA,"LICEUL ”GEORGE ŢĂRNEA”, ORAȘ BĂBENI",108,"ORAŞ BĂBENI",168372,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:26",987,987,0,509,506,0,3,1100,591,485,24,1,1,3,8,2,10,11,29,100,2,3,1,256,12,4,42
