precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA AUR-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:58:44",1373,1373,0,630,612,0,18,1523,893,618,12,46,9,1,2,12,19,5,12,11,4,44,212,81,21,20,119
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:04:44",1711,1711,0,919,894,0,25,1800,881,900,19,91,5,7,6,11,19,5,25,22,3,36,288,160,40,35,147
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:11:41",1286,1286,0,577,552,0,25,1400,819,564,13,57,4,5,4,14,12,5,17,8,2,63,172,64,13,22,102
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:55:29",1195,1195,0,629,611,0,18,1316,687,610,19,53,6,4,2,8,11,4,16,7,1,134,155,63,18,21,107
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:13",437,437,0,327,289,0,38,500,173,308,18,5,1,2,0,1,1,1,19,1,0,5,179,79,6,1,7
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:09:37",1139,1139,0,617,586,0,31,1300,683,582,35,15,7,13,5,4,16,6,29,1,11,9,321,109,7,7,22
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:06:31",494,494,0,261,217,0,44,500,240,219,41,0,2,0,0,0,2,0,8,5,1,0,163,34,2,0,2
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:45",1913,1913,0,922,899,0,23,2000,1078,889,33,31,25,14,3,6,27,2,43,4,9,17,452,169,24,17,46
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:47:16",592,592,0,322,302,0,20,600,278,296,25,7,5,4,1,1,6,0,11,1,0,7,157,60,2,7,27
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:58",315,315,0,155,149,0,6,400,245,146,9,4,0,6,1,0,1,1,14,1,0,40,60,9,5,1,3
26,MARAMUREŞ,"CĂMIN CULTURAL",319,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:47:31",876,876,0,525,481,0,44,1000,475,473,52,12,3,5,3,0,9,2,32,0,8,4,280,76,4,7,28
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:33:31",386,386,0,218,205,0,13,400,182,196,22,1,0,2,0,0,4,0,18,0,2,0,122,39,3,2,3
