precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:38:49",1145,1145,0,542,530,0,12,1300,758,526,16,308,2,8,2,2,45,8,10,69,20,4,1,9,18,4,16
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:28:03",321,321,0,174,169,0,5,400,226,170,4,93,1,3,3,0,5,6,4,23,5,0,0,3,18,1,5
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:49:10",716,716,0,341,329,0,12,800,459,312,29,207,3,3,1,3,6,2,1,47,3,2,2,2,27,1,2
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:09:27",1242,1242,0,469,445,0,24,1400,931,448,21,170,6,3,4,7,43,15,24,92,11,1,5,21,29,2,15
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:22:09",1078,1078,0,445,428,0,17,1100,655,428,17,217,5,2,5,5,46,9,28,59,6,4,2,13,11,3,13
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:44:14",1039,1038,1,784,717,0,67,1121,337,767,17,564,6,7,3,2,10,11,9,87,5,10,0,7,32,2,12
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:03:46",588,588,0,252,231,0,21,633,381,227,25,164,0,1,0,1,0,0,3,33,10,2,2,0,10,0,1
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:06",880,880,0,509,463,0,46,950,441,473,36,196,4,4,4,3,16,8,4,73,122,2,0,4,30,1,2
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:05:13",137,137,0,111,105,0,6,150,39,99,12,17,0,1,0,0,0,0,0,3,74,0,0,1,2,1,0
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:54",67,67,0,59,41,0,18,79,20,55,4,39,1,0,0,0,3,0,0,7,3,0,0,0,2,0,0
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:37:37",1110,1110,0,508,465,0,43,1152,644,479,29,293,1,3,1,4,8,4,1,121,8,2,1,0,20,2,10
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:00:00",254,254,0,158,148,0,10,279,121,148,10,87,1,1,0,1,4,2,3,25,16,0,0,3,4,0,1
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:14:19",473,473,0,362,328,0,34,505,143,352,10,239,0,5,1,0,5,2,5,60,2,0,0,2,26,0,5
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:14",408,408,0,339,281,0,58,460,121,314,25,235,2,1,1,2,19,6,4,21,2,2,0,6,9,0,4
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:41:11",332,331,1,243,222,0,21,366,123,233,10,163,3,2,5,2,6,3,2,25,0,1,1,8,5,0,7
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:06",525,502,23,391,361,23,7,546,155,374,17,200,4,7,2,2,14,9,5,90,5,3,2,6,12,3,10
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:14",203,203,0,92,85,0,7,235,143,83,9,56,0,1,0,1,5,0,0,18,1,0,0,0,1,0,0
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:31:22",83,83,0,66,52,0,14,100,34,59,7,46,1,0,0,1,0,1,0,9,0,0,0,0,1,0,0
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:26:54",261,261,0,218,191,0,27,292,74,209,9,89,0,2,1,1,2,4,1,12,88,3,1,1,3,0,1
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:26",340,333,7,222,206,1,15,361,139,204,18,100,2,2,1,0,12,7,7,42,3,2,0,15,4,3,4
