precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi"
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL SÂNZIENI",184,SÂNZIENI,64826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:47:42",990,990,0,550,510,0,40,1100,550,533,17,4,10,505,1,2,3,1,0,0,0,2,2,2,0,1,0
15,COVASNA,"CLUBUL NR. 2 ZĂBALA",210,ZĂBALA,65048,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:56:51",822,822,0,380,362,0,18,900,520,333,47,54,109,124,2,10,0,2,1,1,1,11,2,7,1,7,1
15,COVASNA,"CLUBUL ORĂȘENESC- COVASNA",76,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:30",1275,1275,0,702,573,0,129,1400,698,678,24,37,79,498,4,18,3,5,2,0,2,16,2,5,3,2,2
15,COVASNA,"COLEGIUL NAȚIONAL ”NAGY MÓZES” TÂRGU SECUIESC",52,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:43:30",1094,1094,0,525,505,0,20,1200,675,489,36,9,13,445,4,4,0,1,2,0,0,1,2,4,1,0,3
15,COVASNA,"COLEGIUL NAȚIONAL ”SZÉKELY MIKÓ”",3,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:30:49",1069,1069,0,542,512,0,30,1200,658,531,11,19,28,444,12,2,0,0,0,1,1,13,2,4,1,3,1
15,COVASNA,"DIRECŢIA FINANŢE PUBLICE MUNICIPALE",5,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:21:00",792,792,0,417,399,0,18,900,483,411,6,17,27,339,3,1,2,1,0,0,0,8,5,1,1,3,3
15,COVASNA,"DIRECȚIA FINANȚE PUBLICE MUNICIPALE",4,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:20",813,813,0,390,370,0,20,900,510,387,3,17,21,312,9,1,0,1,0,0,1,10,4,3,4,3,1
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL BELIN",101,BELIN,63866,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:23:22",1074,1074,0,729,713,0,16,1200,471,634,95,49,36,505,2,9,6,2,0,2,6,4,3,3,0,4,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL ”BENEDEK ELEK” TÂRGU SECUIESC",55,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:28:42",1239,1239,0,467,450,0,17,1300,833,457,10,12,25,387,3,5,0,1,1,1,1,7,6,3,1,3,1
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL CRASNA",191,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:13:01",449,449,0,249,248,0,1,500,251,227,22,89,85,0,1,14,2,1,3,0,5,9,5,7,1,3,2
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 CERNAT",130,CERNAT,64194,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:34:55",880,880,0,515,481,0,34,1000,485,476,39,2,7,446,0,4,2,0,1,0,2,3,4,1,0,1,3
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 SITA BUZĂULUI",190,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:27",875,875,0,514,508,0,6,1000,486,470,44,81,289,6,5,29,7,6,1,0,1,17,6,13,0,6,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 TÂRGU SECUIESC",60,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:43:05",898,898,0,404,390,0,14,1000,596,388,16,4,19,357,0,3,0,1,0,0,1,2,0,0,0,1,0
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL PĂDURENI",166,MOACŞA,64568,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:12",265,265,0,150,144,0,6,300,150,137,13,0,12,119,1,0,1,0,0,0,0,2,0,1,0,0,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL SÂNCRAIU",155,ILIENI,64425,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:23:31",453,453,0,331,320,0,11,500,169,306,25,19,9,255,6,3,2,1,1,0,0,5,2,0,0,1,2
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",24,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:06",821,821,0,286,273,0,13,900,614,275,11,15,17,216,5,8,2,0,2,0,1,2,2,0,2,3,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",23,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:16:56",1234,1234,0,447,430,0,17,1300,853,432,15,23,28,341,7,3,2,1,1,0,3,6,4,5,0,8,0
