precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"BIBLIOTECA COMUNALĂ",365,"VIŞINA NOUĂ",130375,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:06:01",1367,1367,0,1042,917,0,125,1508,591,881,36,9,6,93,705,3,18,0,1,11,2,1,2,1,0,12,17
30,OLT,"CAMIN C ULTURAL",320,STREJEŞTI,129139,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:00:39",395,395,0,314,286,0,28,436,122,298,16,5,2,46,189,6,5,1,1,0,1,7,0,2,2,7,24
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:27",171,171,0,115,109,0,6,188,73,108,7,0,0,12,82,0,2,0,0,1,0,1,0,0,0,0,10
30,OLT,"CĂMIN CULTURAL",283,RADOMIREŞTI,128472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:29:02",946,946,0,529,500,0,29,1043,514,488,41,7,6,58,352,3,2,0,3,2,2,7,0,2,1,13,30
30,OLT,"CĂMIN CULTURAL",222,"GURA PADINII",130339,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:51:59",1360,1360,0,939,927,0,12,1499,560,893,46,3,3,70,736,4,3,7,7,2,3,6,2,2,1,20,24
30,OLT,"CĂMIN CULTURAL",276,PERIEŢI,128052,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:33:53",1601,1601,0,1095,1013,0,82,1754,659,1011,84,6,7,151,672,2,10,5,9,13,7,15,3,3,3,40,65
30,OLT,"CĂMIN CULTURAL COMĂNIȚA",334,TESLUI,129380,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:04:51",710,710,0,518,465,0,53,784,266,491,27,2,2,62,371,1,5,5,8,3,2,5,1,1,2,2,19
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:04:48",402,402,0,289,241,0,48,444,155,270,19,4,0,35,194,3,3,1,2,1,0,7,1,1,0,5,13
30,OLT,"CAMIN CULTURAL STUDINA",322,STUDINA,129184,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:50:51",1217,1217,0,810,777,0,33,1345,535,756,54,8,1,83,570,7,0,6,5,3,3,7,1,0,1,11,50
30,OLT,"CAMIN CULTURAL STUDINIȚA",323,STUDINA,129184,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:10:49",916,916,0,544,526,0,18,990,446,491,53,0,3,73,362,0,0,0,20,4,0,0,0,0,0,5,24
30,OLT,"CAMINUL CULTURAL",349,"VALEA MARE",129656,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:49",668,668,0,376,349,0,27,733,357,332,44,4,2,86,213,3,3,1,1,0,1,1,0,0,0,7,10
30,OLT,"CAMINUL CULTURAL",176,DĂNEASA,126585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:42:52",422,422,0,270,249,0,21,422,152,261,9,0,0,40,163,1,1,0,0,1,1,6,0,1,1,25,21
30,OLT,"CĂMINUL CULTURAL",285,RADOMIREŞTI,128472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:51:09",488,488,0,273,255,0,18,540,268,250,22,0,0,30,190,1,1,3,0,0,0,2,0,0,0,7,16
30,OLT,"CĂMINUL CULTURAL",180,DEVESELU,126647,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:08:12",991,991,0,733,716,0,17,1089,356,685,48,9,4,180,404,6,7,3,2,3,4,3,1,1,3,12,43
30,OLT,"CĂMINUL CULTURAL",136,BOBICEŞTI,125873,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:06:48",1251,1251,0,703,672,0,31,1377,674,658,45,13,3,94,467,7,2,3,1,3,3,7,2,1,0,21,31
30,OLT,"CĂMINUL CULTURAL",266,ORLEA,127938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:12:50",1224,1224,0,844,788,0,56,1346,502,789,55,8,2,112,591,2,5,1,9,2,4,7,0,3,0,11,32
30,OLT,"CĂMINUL CULTURAL",328,"ŞTEFAN CEL MARE",129282,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:27:41",849,849,0,682,583,0,99,939,257,637,45,6,4,53,523,3,3,5,0,1,3,5,1,2,0,1,27
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:40:33",1067,1067,0,800,759,0,41,1171,371,652,148,3,10,131,348,6,3,1,4,4,2,13,1,1,0,82,43
30,OLT,"CĂMINUL CULTURAL",145,BUCINIŞU,126077,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:15:27",1566,1566,0,1377,1159,0,218,1724,347,1267,110,8,4,221,895,2,19,6,5,11,5,49,1,7,2,12,20
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:05",1447,1447,0,1041,1021,0,20,1595,554,907,134,7,2,138,518,3,8,0,5,9,2,10,6,0,0,126,73
30,OLT,"CĂMINUL CULTURAL",352,VĂDASTRA,129718,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:04:05",1051,1051,0,828,744,0,84,1158,330,772,56,3,4,64,619,5,8,1,3,0,2,9,2,1,4,13,34
30,OLT,"CĂMINUL CULTURAL",267,ORLEA,127938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:36:42",518,518,0,381,360,0,21,570,177,369,12,0,1,33,297,4,2,5,2,1,2,0,0,0,0,7,15
