precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
24,IAŞI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ - ȘOROGARI",328,ARONEANU,95747,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:54:43",374,374,0,197,182,0,15,400,203,191,6,7,2,1,1,7,0,95,0,17,1,2,2,22,2,1,31
24,IAŞI,"BIBLIOTECĂ-CĂMIN CULTURAL ȘIPOTE",688,ŞIPOTE,99370,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:37:00",643,643,0,307,301,0,6,700,393,288,19,5,1,3,0,16,2,209,0,1,1,2,2,32,5,0,9
24,IAŞI,"BIBLIOTECA MATEI MILLO",671,STOLNICENI-PRĂJESCU,99165,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:25:23",1201,1201,0,676,663,0,13,1300,624,628,48,6,5,3,0,49,0,424,1,4,6,8,7,80,8,2,25
24,IAŞI,"CĂMIN CULTURAL",576,MOŢCA,98220,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:14:32",1524,1524,0,763,757,0,6,1700,937,714,49,5,7,2,5,28,12,470,2,5,1,9,7,130,10,3,18
24,IAŞI,"CĂMIN CULTURAL",577,MOŢCA,98220,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:57:33",1454,1454,0,721,711,0,10,1600,879,648,73,6,10,3,3,49,0,426,0,10,2,12,3,107,6,1,10
24,IAŞI,"CĂMIN CULTURAL BĂLȚAȚI",332,BĂLŢAŢI,95792,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:38:16",1671,1671,0,891,881,0,10,1800,909,834,57,13,13,15,5,50,5,465,4,19,5,9,8,121,25,0,77
24,IAŞI,"CĂMIN CULTURAL BERSUC DEAL",522,LESPEZI,97606,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:56:37",653,653,0,362,342,0,20,700,337,331,31,4,2,1,5,20,2,192,1,8,2,5,1,67,11,0,10
24,IAŞI,"CĂMIN CULTURAL BÎCU",518,IPATELE,97553,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:32",406,406,0,232,222,0,10,500,268,219,13,4,0,0,0,10,1,173,1,0,2,1,1,15,1,0,10
24,IAŞI,"CAMIN CULTURAL BIRNOVA",337,BÂRNOVA,95088,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:48:54",1252,1252,0,758,734,0,24,1400,642,722,36,30,4,5,4,118,2,267,3,54,4,12,15,91,27,1,85
24,IAŞI,"CĂMIN CULTURAL COROPCENI",370,CIORTEŞTI,96192,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:12:33",823,823,0,439,429,0,10,900,461,379,60,1,5,2,2,18,5,309,0,4,3,0,3,17,2,0,8
24,IAŞI,"CĂMIN CULTURAL CUZA-VODĂ",519,IPATELE,97553,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:18:52",394,394,0,243,229,0,14,400,157,229,14,0,1,0,0,8,0,181,0,4,0,0,1,17,2,1,14
24,IAŞI,"CĂMIN CULTURAL DOLHEȘTI",439,DOLHEŞTI,96904,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:10:53",541,541,0,301,292,0,9,600,299,274,27,4,0,2,1,1,4,208,0,2,3,1,1,25,5,1,16
24,IAŞI,"CĂMIN CULTURAL FORĂŞTI",479,GROPNIŢA,97321,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:36:52",426,426,0,267,262,0,5,500,233,245,22,1,0,1,0,16,2,178,0,3,0,2,3,33,2,0,4
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",485,HĂLĂUCEŞTI,97438,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:37:56",1308,1308,0,574,525,0,49,1400,826,526,48,12,5,8,4,15,7,317,1,13,4,9,2,71,19,1,38
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",486,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:25",1201,1201,0,563,556,0,7,1300,737,529,34,5,8,3,5,41,2,274,2,13,3,6,11,91,25,0,40
24,IAŞI,"CĂMIN CULTURAL PÂRCOVACI",297,"ORAŞ HÂRLĂU",95355,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:52:20",1488,1488,0,803,796,0,7,1600,797,752,51,13,5,3,1,42,6,525,1,5,3,3,4,98,17,3,23
24,IAŞI,"CĂMIN CULTURAL POCREACA",651,"SCHITU DUCA",98827,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:38:55",313,313,0,203,181,0,22,400,197,184,19,3,3,0,0,8,1,125,0,1,3,3,2,18,3,3,11
24,IAŞI,"CĂMIN CULTURAL - SALA II OTELENI",584,OŢELENI,98300,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:13:27",1038,1038,0,511,495,0,16,1100,589,480,31,13,2,9,4,20,0,270,2,6,9,0,5,107,15,0,18
24,IAŞI,"CĂMIN CULTURAL - SALA I OTELENI",583,OŢELENI,98300,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:21:31",975,975,0,547,527,0,20,1100,553,506,41,18,7,3,2,20,8,285,1,5,5,5,2,120,9,0,16
24,IAŞI,"CĂMIN CULTURAL TABĂRA",355,BIVOLARI,95943,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:51",846,846,0,338,327,0,11,900,562,308,30,3,1,0,1,15,3,212,0,5,1,1,4,43,2,0,17
24,IAŞI,"CĂMIN CULTURAL VICTORIA",764,VICTORIA,100004,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:01:00",372,372,0,210,197,0,13,400,190,197,13,1,1,0,0,11,0,114,1,3,1,3,6,35,6,0,15
24,IAŞI,"CĂMIN CULTURAL VICTORIA",763,VICTORIA,100004,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:47:40",1338,1338,0,714,680,0,34,1500,786,665,49,14,4,9,5,48,3,384,1,11,4,5,10,130,17,1,19
24,IAŞI,"CĂMINUL CULTURAL",456,FOCURI,97063,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:37:15",1463,1463,0,755,730,0,25,1600,845,690,65,3,2,1,3,36,5,484,2,6,36,2,6,73,13,1,17
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",644,SCÂNTEIA,98916,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:14:34",665,665,0,336,319,0,17,700,364,304,32,7,4,1,3,15,1,191,0,7,1,9,5,37,4,1,18
24,IAŞI,"CĂMINUL CULTURAL BOURENI",578,MOŢCA,98220,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:45:55",1150,1150,0,536,525,0,11,1300,764,501,35,5,0,3,1,36,1,353,0,3,0,5,6,84,3,0,1
24,IAŞI,"CĂMINUL CULTURAL DRĂGUŞENI",442,DRĂGUŞENI,100308,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:54:09",723,723,0,399,384,0,15,800,401,349,50,7,0,2,1,2,0,302,0,0,3,2,2,21,2,0,5
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",495,HOLBOCA,95159,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:27",1681,1681,0,869,852,0,17,1800,931,822,47,46,3,10,9,49,9,400,9,41,1,10,15,144,24,4,48
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",496,HOLBOCA,95159,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:11:39",1720,1720,0,907,889,0,18,1900,993,867,40,29,8,7,8,52,6,443,5,37,10,19,9,138,23,4,69
24,IAŞI,"CĂMINUL CULTURAL TUNGUJEI",734,ŢIBĂNEŞTI,99780,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:16:52",462,462,0,192,181,0,11,500,308,173,19,6,1,2,1,7,1,118,1,1,2,3,6,13,0,0,11
