precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi"
17,DOLJ,"ANEXĂ ȘCOALĂ",491,SOPOT,74242,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:14:53",274,274,0,188,179,0,9,300,112,174,14,0,0,0,0,32,9,0,0,3,129,0,1,0,0,0,0
17,DOLJ,"BIBLIOTECA ORĂȘENEASCĂ ANTON PANN",210,"ORAŞ FILIAŞI",70414,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:16:23",1340,1340,0,726,712,0,14,1500,774,694,32,10,9,14,1,113,6,1,6,33,406,13,13,56,7,4,2
17,DOLJ,"BIBLIOTECA ORASENEASCA BECHET",202,"ORAŞ BECHET",70879,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:03:56",1286,1286,0,570,517,0,53,1500,930,530,40,2,1,5,0,51,4,0,2,23,400,8,2,31,1,0,0
17,DOLJ,"BIBLIOTECA ORĂŞENEASCĂ MIRCEA RĂDINA",223,"ORAŞ ŞEGARCEA",70502,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:51:06",1530,1530,0,994,971,0,23,1700,706,927,67,13,5,12,0,119,0,4,0,28,713,8,9,16,0,0,0
17,DOLJ,"CAMIN CULTURAL",359,GHINDENI,74915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:20:07",1543,1543,0,1103,941,0,162,1700,597,938,165,10,0,6,15,167,28,2,2,40,529,12,13,110,4,0,0
17,DOLJ,"CAMIN CULTURAL",314,COŞOVENI,71885,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:45:53",958,958,0,650,627,0,23,1000,350,562,88,6,12,7,8,54,4,0,3,18,393,3,3,42,4,4,1
17,DOLJ,"CĂMIN CULTURAL",517,URZICUŢA,74554,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:07:19",379,379,0,278,253,0,25,400,122,248,30,5,0,4,1,20,1,0,2,4,195,1,0,13,0,2,0
17,DOLJ,"CĂMIN CULTURAL",235,"APELE VII",70726,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:27:56",1629,1629,0,1282,1126,0,156,1792,510,1159,123,0,9,0,0,81,16,0,0,21,1009,0,4,0,19,0,0
17,DOLJ,"CĂMIN CULTURAL",465,ROBĂNEŞTI,73923,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:00:24",493,493,0,373,337,0,36,500,127,341,32,1,2,7,2,42,2,0,2,10,230,2,1,31,4,5,0
17,DOLJ,"CĂMIN CULTURAL",258,BRATOVOEŞTI,71199,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:15:51",1130,1130,0,671,630,0,41,1300,629,638,33,4,3,6,1,75,12,0,3,29,449,8,3,42,0,1,2
17,DOLJ,"CAMIN CULTURAL ALBESTI",495,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:00:09",1258,1258,0,739,680,0,59,1300,561,710,29,5,6,8,9,86,11,3,5,34,445,21,10,52,6,6,3
17,DOLJ,"CAMIN CULTURAL DUDOVICESTI",496,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:52:14",973,973,0,551,501,0,50,1000,449,530,21,1,3,8,2,130,2,2,3,30,254,8,16,60,6,3,2
17,DOLJ,"CAMIN CULTURAL FÂNTÂNELE",461,RADOVAN,73852,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:31:28",76,76,0,71,43,0,28,100,29,65,6,0,1,4,0,7,0,0,0,3,46,0,1,2,1,0,0
17,DOLJ,"CAMIN CULTURAL FLORESTI",497,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:20:00",638,638,0,371,328,0,43,800,429,353,18,3,0,2,2,91,1,4,2,22,174,8,3,40,1,0,0
17,DOLJ,"CAMIN CULTURAL GHIZDAVESTI",296,CELARU,71634,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:58:17",1179,1179,0,843,779,0,64,1300,457,746,97,0,2,6,3,140,4,1,2,29,538,7,6,6,2,0,0
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:23:57",846,846,0,505,436,0,69,1000,495,465,40,9,0,3,3,102,0,0,1,45,275,6,4,15,0,1,1
17,DOLJ,"CAMIN CULTURAL GOIESTI SALA",373,GOIEŞTI,72677,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:47:47",1143,1143,0,803,757,0,46,1300,497,732,71,2,2,5,7,87,8,0,3,89,453,17,6,42,7,0,4
17,DOLJ,"CAMIN CULTURAL MAROTINU DE JOS",297,CELARU,71634,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:28:57",465,465,0,330,305,0,25,500,170,300,30,8,1,2,1,31,0,0,1,10,228,2,4,8,1,1,2
17,DOLJ,"CAMIN CULTURAL MAROTINU DE SUS",298,CELARU,71634,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:02:15",417,417,0,281,239,0,42,500,219,265,16,4,1,3,0,18,1,0,0,11,225,0,1,0,0,0,1
17,DOLJ,"CĂMIN CULTURAL SĂLCUȚA",281,CALOPĂR,71457,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:49:35",914,914,0,468,408,0,60,1100,632,404,64,0,0,9,1,37,0,0,0,5,346,4,0,2,0,0,0
17,DOLJ,"CAMIN CULTURAL TÂRNAVA",462,RADOVAN,73852,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:13:35",152,152,0,83,59,0,24,100,17,77,6,0,0,0,0,11,0,1,0,3,57,0,0,1,3,1,0
17,DOLJ,"CAMINUL CULTURAL",286,CASTRANOVA,71572,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:23:29",1493,1493,0,1067,1011,0,56,1700,633,1056,11,0,0,0,0,70,16,0,0,40,873,0,0,57,0,0,0
17,DOLJ,"CAMINUL CULTURAL",401,"MĂCEŞU DE SUS",73013,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:40:44",902,902,0,767,644,0,123,900,133,659,108,0,0,1,0,57,10,0,0,29,554,2,0,4,0,2,0
17,DOLJ,"CAMINUL CULTURAL",352,GALICIUICA,74891,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:33:45",1099,1099,0,798,777,0,21,1300,502,731,67,2,2,6,5,134,5,0,2,30,520,3,0,20,2,0,0
17,DOLJ,"CAMINUL CULTURAL",242,BÂRCA,70940,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:51:47",1644,1644,0,979,892,0,87,1900,921,829,150,1,0,1,4,71,2,1,2,41,669,1,7,19,5,4,1
17,DOLJ,"CĂMINUL CULTURAL",355,GHERCEŞTI,72409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:15",1051,1051,0,886,775,0,111,1100,214,845,41,8,9,17,2,131,8,2,2,54,481,30,17,66,10,1,7
17,DOLJ,"CĂMINUL CULTURAL",276,BULZEŞTI,71340,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:57:07",589,589,0,375,339,0,36,600,225,359,16,2,0,1,1,54,7,0,2,16,248,7,1,16,2,2,0
17,DOLJ,"CĂMINUL CULTURAL",234,"AMĂRĂŞTII DE SUS",70673,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:17:44",1252,1252,0,1077,957,0,120,1300,223,1074,3,0,1,2,4,53,1,0,3,35,957,3,2,11,0,2,0
17,DOLJ,"CĂMINUL CULTURAL",358,GHIDICI,74907,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:34:45",1852,1852,0,894,764,0,130,2100,1206,867,27,2,2,1,2,36,5,0,0,19,785,4,3,5,2,1,0
17,DOLJ,"CĂMINUL CULTURAL",489,"SILIŞTEA CRUCII",74224,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:21:59",1168,1168,0,895,821,0,74,1200,305,801,94,4,0,10,4,106,7,0,0,43,591,4,2,23,2,3,2
17,DOLJ,"CĂMINUL CULTURAL",337,DOBROTEŞTI,74883,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:41:50",1298,1298,0,1029,944,0,85,1500,471,904,125,0,0,0,0,76,10,0,0,17,758,0,0,24,0,19,0
17,DOLJ,"CĂMINUL CULTURAL",282,CARAULA,71518,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:56:52",917,917,0,698,620,0,78,1100,402,680,18,0,0,0,0,175,5,0,0,10,471,12,0,5,2,0,0
17,DOLJ,"CĂMINUL CULTURAL",248,BOTOŞEŞTI-PAIA,70968,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:25:16",513,513,0,554,400,0,154,625,71,502,52,0,0,2,2,71,9,0,0,6,379,2,1,25,5,0,0
17,DOLJ,"CĂMINUL CULTURAL",317,"COŢOFENII DIN DOS",71910,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:16:04",842,842,0,666,594,0,72,1000,334,610,56,1,1,3,2,83,9,1,2,28,456,0,0,20,3,1,0
