precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
2,ARAD,"CĂMINUL CULTURAL MĂDRIGEŞTI",221,BRAZII,10239,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:04:02",215,215,0,178,148,0,30,230,52,165,13,0,83,1,63,3,3,1,0,0,0,11,0,0,0,0,0
2,ARAD,"CĂMINUL CULTURAL MÂNERĂU",215,BOCSIG,10195,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:27",277,269,8,195,179,8,8,300,117,170,9,2,109,3,36,5,0,0,0,0,0,5,3,1,2,2,2
2,ARAD,"CĂMINUL CULTURAL MÂSCA",385,ŞIRIA,12368,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:40",759,754,5,420,402,5,13,830,410,406,14,4,264,6,74,0,6,4,2,2,0,22,5,1,5,9,2
2,ARAD,"CĂMINUL CULTURAL MINIŞ",271,GHIOROC,10872,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:11:37",563,562,1,307,285,1,21,620,313,294,13,10,160,9,55,7,21,0,0,0,5,12,10,0,3,2,0
2,ARAD,"CĂMINUL CULTURAL MINIŞU DE SUS",391,TAUŢ,12457,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:25:26",41,41,0,40,24,0,16,50,10,38,2,0,18,0,13,1,0,0,0,0,0,1,0,1,2,2,0
2,ARAD,"CĂMINUL CULTURAL MIȘCA",314,MIŞCA,11423,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:36",990,990,0,605,590,0,15,1090,497,538,55,49,315,11,85,5,11,1,2,3,1,30,2,16,2,2,3
2,ARAD,"CĂMINUL CULTURAL MORODA",355,SELEUŞ,11995,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:12:39",571,571,0,341,328,0,13,630,289,328,13,0,162,1,108,8,4,2,0,1,1,18,4,2,7,7,3
2,ARAD,"CĂMINUL CULTURAL MUNAR",349,SECUSIGIU,11940,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:56",424,424,0,306,293,0,13,460,154,292,14,12,184,7,30,3,5,2,3,2,0,17,9,0,9,8,1
2,ARAD,"CĂMINUL CULTURAL NĂDĂLBEȘTI",302,IGNEŞTI,11307,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:59:29",108,106,2,76,62,2,12,120,44,72,4,0,23,1,44,0,2,0,0,0,0,1,0,0,0,1,0
2,ARAD,"CĂMINUL CULTURAL NADĂŞ",392,TAUŢ,12457,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:52:12",582,576,6,596,576,6,14,630,169,440,19,1,192,9,198,3,5,0,1,0,0,18,2,0,2,6,3
2,ARAD,"CĂMINUL CULTURAL NEAGRA",254,DEZNA,10649,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:30:59",87,87,0,81,66,0,15,100,19,77,4,1,54,1,13,1,2,0,0,0,0,4,0,0,1,0,0
