precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
5,BIHOR,"ȘCOALA PRIMARĂ NR.2 COCIUBA MICĂ",482,PIETROASA,30336,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:01:45",366,366,0,234,226,0,8,403,169,215,19,1,1,0,92,5,4,0,0,1,1,95,3,0,6,0,6
5,BIHOR,"ȘCOALA PRIMARĂ NR 2 PEŞTERE",230,AŞTILEU,26742,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:25:11",651,651,0,443,434,0,9,718,275,428,15,7,0,2,84,6,2,0,5,1,1,281,7,4,22,1,5
5,BIHOR,"SCOALA PRIMARA NR. 3",585,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:11:04",349,349,0,253,226,0,27,378,125,202,51,4,0,2,29,41,0,1,1,1,1,98,4,3,4,4,9
5,BIHOR,"ȘCOALĂ PRIMARĂ NR. 3",225,ABRAM,27070,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:22:06",435,435,0,293,243,0,50,475,182,286,7,1,0,1,35,2,3,0,0,0,0,234,4,1,4,1,0
5,BIHOR,"ȘCOALA PRIMARĂ NR.3 MĂGURA",485,PIETROASA,30336,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:05:07",228,228,0,189,177,0,12,254,65,184,5,2,0,1,37,4,2,0,2,0,0,97,1,4,3,2,29
5,BIHOR,"SCOALA PRIMARA NR. 4",586,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:43:23",192,192,0,129,120,0,9,212,83,116,13,2,2,0,30,5,0,4,1,0,1,55,5,2,4,1,4
5,BIHOR,"ȘCOALA PRIMARĂ NR.4",345,COPĂCEL,28816,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:35:22",121,121,0,96,68,0,28,134,38,96,0,2,0,0,11,1,0,0,0,0,0,73,3,0,5,0,1
5,BIHOR,"ȘCOALA PRIMARĂ NR.4 GIULEȘTI",483,PIETROASA,30336,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:13:26",118,118,0,99,92,0,7,134,35,94,5,0,0,0,27,3,0,1,0,0,3,54,0,0,4,1,1
5,BIHOR,"SCOALA PRIMARA NR. 5",584,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:25",162,162,0,105,95,0,10,173,68,99,6,5,0,0,13,9,0,2,0,1,0,56,1,3,7,0,2
5,BIHOR,"ȘCOALA PRIMARĂ NR.5 MOȚEȘTI",486,PIETROASA,30336,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:57:00",69,69,0,62,55,0,7,74,12,61,1,0,0,0,18,4,1,0,0,0,0,35,1,0,0,0,2
5,BIHOR,"ȘCOALA PRIMARĂ SANTĂUL MIC",260,BORŞ,27631,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:23:08",488,488,0,292,269,0,23,532,240,289,3,1,0,1,12,247,1,1,3,1,0,14,1,3,2,0,2
5,BIHOR,"ŞCOALA PRIMARĂ SIGHIŞTEL",310,CÂMPANI,28709,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:16:39",251,251,0,220,195,0,25,272,52,214,6,2,0,1,33,0,0,3,2,0,0,158,3,0,10,0,2
5,BIHOR,"ȘCOALA PRIMARĂ SÎNTELEC",404,"HIDIŞELU DE SUS",29519,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:09:20",320,320,0,255,240,0,15,350,95,227,28,0,0,0,21,2,2,4,5,0,1,165,3,2,18,2,2
5,BIHOR,"SCOALA PRIMARA TALPE",385,DRĂGĂNEŞTI,29243,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:17:57",191,191,0,152,144,0,8,205,53,142,10,1,0,0,24,1,0,0,2,0,0,93,3,1,1,2,14
5,BIHOR,"ŞCOALA S04 TOPA DE JOS",375,DOBREŞTI,29154,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:12:56",153,153,0,102,92,0,10,172,70,98,4,0,0,0,21,1,0,0,1,0,0,62,2,2,2,0,7
5,BIHOR,"SCOALA SEBIS",384,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:43:50",252,252,0,181,171,0,10,272,91,174,7,1,0,0,24,2,3,0,3,0,2,120,2,0,9,3,5
5,BIHOR,"SEDIUL VECHI AL PRIMĂRIEI CURTUIȘENI",356,CURTUIŞENI,29001,6,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:44:09",1004,1004,0,561,558,0,3,1102,541,516,45,1,1,1,22,359,0,1,0,1,0,124,0,0,3,0,3
5,BIHOR,"SPAȚIU PENTRU ALEGERI",574,SÂRBI,31128,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:53:18",50,50,0,52,37,0,15,63,11,51,1,2,0,0,6,3,0,0,1,0,0,35,1,0,1,1,1
5,BIHOR,"SPAȚIU PENTRU ALEGERI GENERALE",572,SÂRBI,31128,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:43:49",110,110,0,99,80,0,19,119,20,95,4,1,0,0,11,1,1,0,1,0,0,68,0,2,4,5,1
5,BIHOR,"UNIVERSITATEA DIN ORADEA FACULTATEA DE TEXTILE-PIELĂRIE",119,"MUNICIPIUL ORADEA",26564,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:51:25",985,985,0,437,422,0,15,1183,746,429,8,3,1,1,51,68,4,1,35,2,5,178,10,1,5,26,38
5,BIHOR,"UNIVERSITATEA DIN ORADEA FACULTATEA DE TEXTILE-PIELĂRIE",118,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:40",1054,1054,0,472,441,0,31,1259,787,467,5,12,1,1,59,139,2,1,43,0,3,126,9,4,12,13,42
5,BIHOR,"VECHIUL SEDIU AL PRIMĂRIEI ABRĂMUȚ",477,PETREU,27169,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:45:24",368,368,0,143,137,0,6,400,257,139,4,1,0,1,21,47,0,0,3,0,1,49,1,0,14,1,0
