precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi"
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:37",1022,1022,0,403,386,0,17,1150,747,386,17,25,11,12,2,7,6,11,57,4,0,2,25,209,5,1,9
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI",80,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:34",1376,1376,0,504,499,0,5,1499,995,488,16,24,4,7,8,24,3,14,92,3,1,4,53,244,3,0,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",85,"ORAŞ ŢĂNDĂREI",92765,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:41:33",1548,1548,0,489,480,0,9,1698,1209,461,28,19,2,0,6,20,5,6,60,2,4,0,61,270,2,3,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",86,"ORAŞ ŢĂNDĂREI",92765,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:15:41",965,965,0,191,183,0,8,1050,859,160,31,1,1,0,1,1,0,1,6,2,1,2,4,139,0,0,1
23,IALOMIŢA,"LICEUL TEHNOLOGIC URZICENI",69,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:25:02",1648,1648,0,783,777,0,6,1800,1017,725,58,81,16,14,4,2,12,9,85,10,13,2,65,386,4,7,15
23,IALOMIŢA,"LICEUL TEORETIC ”CAROL I”",44,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:33:52",1325,1325,0,605,574,0,31,1450,845,568,37,52,20,16,5,11,3,15,72,2,6,8,31,314,1,3,9
23,IALOMIŢA,"LICEUL TEORETIC ’’PAUL GEORGESCU’’",81,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:27:02",1157,1157,0,398,377,0,21,1300,902,377,21,15,2,2,3,5,5,2,52,2,2,2,21,254,2,2,6
23,IALOMIŢA,"LICEUL TEORETIC ’’PAUL GEORGESCU’’",82,"ORAŞ ŢĂNDĂREI",92765,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:07:53",838,838,0,336,328,0,8,950,614,326,10,13,11,5,1,11,2,7,56,1,0,1,39,166,4,1,8
23,IALOMIŢA,"LOCALUL GRUPULUI ŞCOLAR BORDUŞANI (ZONA „MOARĂ”)",116,BORDUŞANI,92989,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:28",1385,1385,0,572,557,0,15,1550,978,544,28,33,8,5,0,1,10,5,102,2,1,0,7,366,1,1,2
23,IALOMIŢA,"LOCALUL ŞCOLII CU CLASELE I- VIII CEGANI",117,BORDUŞANI,92989,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:42:20",1120,1120,0,535,512,0,23,1250,715,499,36,44,5,1,3,4,8,3,83,2,2,0,1,341,0,0,2
23,IALOMIŢA,"LOCALUL ŞCOLII VECHI DIN CENTRUL SATULUI",115,BORDUŞANI,92989,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:26:42",1371,1371,0,562,544,0,18,1500,938,527,35,44,4,3,1,3,10,4,99,4,0,0,16,336,1,2,0
23,IALOMIŢA,"MUZEUL NAȚIONAL AL AGRICULTURII",7,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:23:35",1440,1440,0,611,602,0,9,1600,989,588,23,21,20,21,2,9,5,22,85,2,8,4,50,306,3,5,25
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",22,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:57:10",1398,1398,0,646,633,0,13,1550,904,628,18,38,24,20,1,11,11,14,85,5,5,2,53,331,10,6,12
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",23,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:52:52",1142,1142,0,565,558,0,7,1250,685,546,19,23,21,23,6,16,1,29,64,3,6,4,66,266,6,2,10
23,IALOMIŢA,"PRIMARIA COCORA",130,COCORA,93209,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:40:53",784,784,0,547,520,0,27,850,303,515,32,30,3,2,8,15,7,0,38,2,0,1,59,341,0,0,9
23,IALOMIŢA,"PRIMĂRIA STELNICA",211,STELNICA,94492,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:05:20",1438,1438,0,887,881,0,6,1600,713,833,54,56,20,10,7,14,4,12,121,7,6,1,30,539,1,2,3
23,IALOMIŢA,"PROTOPOPIATUL FETEȘTI",39,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:52:10",1094,1094,0,439,422,0,17,1200,761,409,30,39,6,8,7,3,5,12,70,3,3,2,13,230,0,1,7
23,IALOMIŢA,"SALA DE SPORT",48,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:31:52",1205,1205,0,573,559,0,14,1328,755,550,23,38,22,21,4,10,2,17,68,1,3,2,40,301,4,4,13
23,IALOMIŢA,"SALĂ DE SPORT CLUB SPORTIV VICTORIA ȚĂNDĂREI",87,"ORAŞ ŢĂNDĂREI",92765,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:23:09",1602,1602,0,486,466,0,20,1800,1314,461,24,32,9,1,2,30,3,14,71,3,0,0,39,254,2,0,1
23,IALOMIŢA,"SALA DE SPORT DE LÂNGĂ PRIMARIA COMUNEI ADÂNCATA",89,ADÂNCATA,100754,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:57:17",1319,1319,0,1018,890,0,128,1450,432,979,39,53,11,5,6,3,9,16,145,2,1,2,14,698,3,2,9
23,IALOMIŢA,"SALĂ EDUCAȚIE FIZICĂ ȘCOLARĂ",184,OGRADA,179819,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:27",1095,1095,0,528,523,0,5,1200,672,496,32,51,7,2,2,4,10,4,88,3,2,2,10,301,1,5,4
23,IALOMIŢA,"SALĂ FESTIVITĂŢI",105,BALACIU,92907,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:42:04",227,227,0,131,124,0,7,250,119,116,15,2,1,0,3,2,0,0,15,3,1,3,8,77,1,0,0
23,IALOMIŢA,"S.C. DRUMURI ŞI PODURI IALOMIŢA",21,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:31:10",1670,1670,0,843,831,0,12,1849,1006,828,15,25,29,39,7,20,4,47,81,6,6,3,83,457,3,5,13
23,IALOMIŢA,"ŞCOALA CRUNŢI",194,REVIGA,94269,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:27:03",320,320,0,190,177,0,13,350,160,173,17,8,3,2,1,2,3,1,14,1,0,0,1,137,0,0,0
23,IALOMIŢA,"ŞCOALA CU CLASELE I – IV BUEŞTI",120,BUEŞTI,179793,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:50",782,782,0,588,529,0,59,850,262,586,2,0,0,1,3,0,1,1,11,0,0,0,0,569,0,0,0
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII, ”BARBU CATARGIU”, MAIA",167,MAIA,179800,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:01:31",1258,1258,0,1159,904,0,255,1400,241,1121,38,44,15,0,6,29,7,5,60,3,3,1,21,914,2,0,11
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII COLELIA",131,COLELIA,179971,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:09:34",846,846,0,555,451,0,104,950,395,541,14,23,2,2,3,3,2,1,45,0,0,2,9,446,0,1,2
23,IALOMIŢA,"SCOALA CU CLASELE I-VIII GARBOVI",148,GÂRBOVI,103283,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:28:02",1033,1033,0,630,595,0,35,1150,520,581,49,45,6,9,13,7,7,7,51,5,1,1,223,193,7,0,6
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII GÂRBOVI,",147,GÂRBOVI,103283,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:34:59",933,933,0,578,554,0,24,1000,422,541,37,25,5,13,10,5,6,5,69,1,5,1,196,185,2,3,10
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII GÂRBOVI,",146,GÂRBOVI,103283,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:59:21",933,933,0,556,521,0,35,1000,444,511,45,22,4,2,15,3,2,9,86,5,2,0,197,159,1,0,4
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII MOLDOVENI",177,MOLDOVENI,179999,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:11:57",837,837,0,728,578,0,150,900,172,707,21,26,7,6,6,2,5,11,131,3,3,0,16,481,1,0,9
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII, MOVILA",178,MOVILA,94081,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:03:54",1512,1512,0,833,766,0,67,1690,857,790,43,75,26,12,16,13,5,10,155,6,3,2,43,415,3,0,6
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII NR.3 DIN URZICENI",60,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:53:45",1272,1272,0,577,562,0,15,1400,823,538,39,57,12,15,0,8,3,9,61,2,6,1,32,308,11,8,5
23,IALOMIŢA,"SCOALA CU CLASELE I-VIII ROŞIORI",196,ROŞIORI,179828,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:25:47",894,894,0,732,648,0,84,1000,268,695,37,28,12,6,3,2,8,16,134,1,1,0,12,469,0,1,2
23,IALOMIŢA,"ŞCOALA CU CLASELE I-VIII ROŞIORI",197,ROŞIORI,179828,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:56",633,633,0,527,467,0,60,700,173,498,29,19,3,2,0,2,0,15,104,2,1,0,12,328,1,1,8
23,IALOMIŢA,"ŞCOALA DIN SATUL SLĂTIOARELE",166,JILAVELE,103960,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:52:58",282,282,0,185,170,0,15,300,115,172,13,12,1,4,1,0,2,2,18,0,2,0,4,119,2,0,5
23,IALOMIŢA,"ŞCOALA GENERALĂ ADÂNCATA",90,ADÂNCATA,100754,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:52",552,552,0,383,343,0,40,600,217,360,23,29,0,2,0,7,8,4,59,2,0,0,8,227,4,3,7
23,IALOMIŢA,"SCOALA GENERALA ALEXANDRU ODOBESCU",64,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:27",1090,1090,0,575,558,0,17,1200,625,544,31,35,16,15,5,8,5,28,54,4,5,3,70,280,3,3,10
23,IALOMIŢA,"ŞCOALA GENERALA ANDRĂŞEŞTI",95,ANDRĂŞEŞTI,92872,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:57:01",1388,1388,0,831,782,0,49,1500,669,756,75,65,9,3,3,8,12,12,113,4,4,2,36,477,2,3,3
23,IALOMIŢA,"ȘCOALA GENERALĂ ARMĂȘEȘTI",97,ARMĂŞEŞTI,100870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:20:20",579,579,0,322,306,0,16,650,328,313,9,22,7,1,1,4,0,5,57,1,3,1,19,188,2,1,1
23,IALOMIŢA,"ŞCOALA GENERALĂ CIOCÂRLIA",121,CIOCÂRLIA,100709,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:58:42",596,596,0,424,385,0,39,650,226,400,24,24,3,5,3,3,2,4,40,4,2,0,3,304,1,0,2
23,IALOMIŢA,"ŞCOALA GENERALĂ COSERENI",135,COŞERENI,102240,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:17:09",1237,1237,0,836,816,0,20,1350,514,791,45,71,18,9,8,73,9,26,147,2,2,2,38,375,6,3,2
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV FIRBINŢI DE JOS",78,"ORAŞ FIERBINŢI-TÂRG",102749,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:57",871,871,0,570,548,0,22,950,380,544,26,45,19,5,3,3,3,4,35,1,2,2,26,384,5,2,5
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV FIRBINŢI DE SUS",79,"ORAŞ FIERBINŢI-TÂRG",102749,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:30:50",1467,1467,0,960,896,0,64,1641,681,912,48,48,14,10,11,4,12,14,77,2,5,3,49,636,8,3,16
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV RĂSIMNICEA",192,RĂDULEŞTI,101243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:14:46",201,201,0,167,120,0,47,200,33,157,10,6,2,1,1,2,4,2,21,1,2,0,1,111,0,0,3
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",151,"GHEORGHE LAZĂR",93628,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:16:20",1014,1014,0,594,547,0,47,1100,506,567,27,34,9,0,0,3,5,7,84,0,1,0,7,407,2,4,4
