precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL SIMINICEA",457,SIMINICEA,150221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:15",1201,1201,0,563,557,0,6,1323,760,534,29,9,2,7,7,0,8,1,0,1,7,5,374,41,20,49,3
35,SUCEAVA,"CĂMINUL CULTURAL ŞTIRBĂŢ",503,UDEŞTI,150588,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:22:50",428,428,0,253,234,0,19,500,247,222,31,0,3,0,1,0,1,2,1,3,1,1,110,23,27,46,3
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:08:37",528,528,0,306,294,0,12,600,294,274,32,7,6,3,5,0,1,1,0,3,1,1,174,18,1,53,0
35,SUCEAVA,"CĂMINUL CULTURAL VALEA MOLDOVEI",515,"VALEA MOLDOVEI",150891,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:14:59",1434,1434,0,943,925,0,18,1536,593,878,65,11,1,11,3,1,2,1,0,8,5,4,561,64,10,196,0
35,SUCEAVA,"CĂMINUL CULTURAL VALEA PUTNEI",432,POJORÂTA,149931,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:23:23",275,275,0,155,146,0,9,332,177,134,21,4,1,1,2,0,1,0,2,0,3,2,71,2,4,40,1
35,SUCEAVA,"CĂMINUL CULTURAL VĂŞCĂUŢI",410,MUŞENIŢA,149584,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:12:26",501,501,0,282,273,0,9,492,210,269,13,9,2,0,3,3,1,1,0,0,8,2,142,17,11,67,3
35,SUCEAVA,"CĂMINUL CULTURAL VATRA MOLDOVIȚEI",522,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:17",1158,1158,0,706,684,0,22,1300,594,655,51,11,3,15,4,0,3,0,3,1,7,12,416,44,3,129,4
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:12:03",2048,2048,0,1049,1042,0,7,2200,1151,809,240,7,3,4,5,4,3,3,2,3,9,10,556,48,11,139,2
35,SUCEAVA,"CAMINUL CULTURAL VERESTI",527,VEREŞTI,151022,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:50",1245,1245,0,610,605,0,5,1400,790,589,21,13,3,11,12,3,3,3,4,6,2,6,280,41,20,179,3
35,SUCEAVA,"CĂMINUL CULTURAL VICOVU DE SUS-EST",192,"ORAŞ VICOVU DE SUS",151095,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:18:11",1327,1327,0,553,545,0,8,1400,847,525,28,19,1,7,5,0,4,1,1,2,8,10,267,29,7,162,2
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:33:30",1100,1100,0,666,640,0,26,1200,534,591,75,2,0,16,7,2,61,4,0,4,2,6,350,40,10,84,3
35,SUCEAVA,"CĂMINUL CULTURAL VOITINEL",537,VOITINEL,151558,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:50:27",1881,1881,0,826,820,0,6,2000,1174,746,80,7,3,5,0,2,1,2,3,2,5,2,583,20,3,106,2
35,SUCEAVA,"CĂMINUL CULTURAL ZAMOSTEA",549,ZAMOSTEA,151246,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:37:04",1216,1216,0,700,680,0,20,1323,623,658,42,9,5,16,5,1,5,5,0,0,3,5,448,38,23,92,3
35,SUCEAVA,"CASA DE CULTURA",101,"MUNICIPIUL RĂDĂUŢI",146628,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:32:54",1739,1739,0,700,686,0,14,1700,1000,677,23,21,2,16,40,3,7,8,2,6,3,24,355,30,42,112,6
35,SUCEAVA,"CASA DE CULTURĂ",354,"HORODNIC DE SUS",151479,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:44",1778,1778,0,940,929,0,11,2000,1060,882,58,15,3,11,18,2,13,2,3,3,7,16,473,52,38,220,6
35,SUCEAVA,"CASA DE CULTURĂ CIOCĂNEȘTI",257,CIOCĂNEŞTI,151451,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:33",920,920,0,574,555,0,19,1000,426,547,27,18,1,15,5,0,5,5,5,5,6,14,322,27,17,102,0
35,SUCEAVA,"CASA DE CULTURĂ ”ELISEI TODAȘCĂ”",427,"POIANA STAMPEI",149851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:04",1606,1606,0,1066,1042,0,24,1750,684,1022,44,23,4,35,16,2,9,3,4,6,5,19,730,36,30,97,3
35,SUCEAVA,"CASA DE CULTURĂ LITENI",165,"ORAŞ LITENI",149227,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:24:23",1746,1746,0,802,784,0,18,1900,1098,791,11,16,3,35,13,0,6,3,0,0,0,16,465,55,39,137,3
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",116,"MUNICIPIUL VATRA DORNEI",146744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:06:55",1171,1171,0,601,559,0,42,1300,699,576,25,8,8,12,17,4,8,6,8,2,4,17,341,38,29,73,1
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",117,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:28:10",884,884,0,520,495,0,25,974,454,501,19,6,2,11,12,14,1,6,6,5,1,14,296,24,35,64,4
35,SUCEAVA,"CASA DE CULTURĂ VICOVU DE SUS - LAURA",197,"ORAŞ VICOVU DE SUS",151095,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:12:41",1746,1746,0,734,733,0,1,1900,1166,702,32,17,4,7,10,1,3,1,1,4,3,2,477,47,9,116,0
35,SUCEAVA,"CASĂ DE PRĂZNUIRE A PAROFIEI SFINŢII ÎMPĂRAŢI MIHAIL ŞI GAVRIL PE STIL VECHI",135,"ORAŞ BROŞTENI",147358,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:33:56",400,400,0,249,243,0,6,400,151,230,19,0,2,3,2,0,5,3,0,11,3,2,135,18,7,38,1
35,SUCEAVA,"CASA DE PRĂZNUIRE A PAROHIEI ORTODOXE STÂNCUȚA",560,ZVORIŞTEA,151344,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:07",140,140,0,94,79,0,15,200,106,89,5,0,2,1,0,0,2,1,0,0,2,0,62,10,2,7,0
35,SUCEAVA,"CASA DE TIP FAMILIAL ”CIREŞARII”",413,OSTRA,149655,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:02:26",1016,1016,0,534,524,0,10,1100,566,507,27,6,5,0,3,0,0,0,4,0,2,4,362,28,7,86,0
35,SUCEAVA,"CASA NAȚIONALĂ",361,IACOBENI,149138,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:01:25",840,840,0,505,492,0,13,920,415,484,21,13,2,9,10,0,11,7,0,6,8,5,313,25,8,63,4
