precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:04:48",514,514,0,396,345,0,51,550,154,367,29,6,35,1,0,6,2,4,8,14,78,8,2,22,177,1,3
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",287,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:13",833,833,0,498,477,0,21,900,402,473,25,0,3,0,0,3,0,422,2,7,9,3,0,0,24,0,0
33,SĂLAJ,"BAZA SPORTIVĂ",63,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:33",753,753,0,442,433,0,9,806,364,423,19,3,16,1,1,2,3,9,4,24,55,18,2,10,259,9,7
33,SĂLAJ,"CAMIN CULTURAL",159,GÂLGĂU,141134,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:08:29",366,366,0,233,198,0,35,445,212,215,18,1,8,0,0,0,0,2,2,16,46,1,0,0,138,0,1
33,SĂLAJ,"CAMIN CULTURAL",157,GÂLGĂU,141134,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:27:54",146,146,0,112,97,0,15,200,88,105,7,0,9,1,0,1,0,1,0,2,7,0,0,2,82,0,0
33,SĂLAJ,"CĂMIN CULTURAL",284,ŞAMŞUD,142854,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:36",898,898,0,555,544,0,11,950,395,531,24,0,0,0,0,0,0,508,1,0,3,0,0,1,18,0,0
33,SĂLAJ,"CĂMIN CULTURAL",83,BĂNIŞOR,140208,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:43",477,477,0,299,287,0,12,550,251,275,24,3,17,0,1,9,2,1,4,7,64,10,1,4,144,3,5
33,SĂLAJ,"CĂMIN CULTURAL",243,PERICEI,142284,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:03:37",543,543,0,319,291,0,28,600,281,303,16,0,17,2,1,4,1,9,9,11,38,19,5,1,182,2,2
33,SĂLAJ,"CAMIN CULTURAL ALEUS",168,HALMĂŞD,141312,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:09:24",221,221,0,162,146,0,16,250,88,142,20,0,6,1,2,2,0,0,5,5,17,2,0,2,100,0,0
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:26:33",340,340,0,213,197,0,16,400,187,198,15,3,26,3,1,6,1,2,15,21,42,3,1,1,71,0,2
