precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 7",14,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:43:03",1674,1674,0,698,683,0,15,1800,1102,662,21,1,361,7,24,5,6,6,4,5,45,46,22,5,16,25,84
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ODĂILE",297,ODĂILE,48021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:53:21",539,539,0,348,316,0,32,600,252,321,27,0,267,0,1,1,2,1,1,1,3,10,6,0,1,0,27
10,BUZĂU,"ȘCOALA GIMNAZIALĂ OREAVUL",399,"VALEA RÂMNICULUI",50022,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:18:23",1811,1811,0,943,919,0,24,2000,1057,912,31,3,548,3,10,3,4,18,6,3,73,80,9,1,18,12,121
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PĂLTINIŞ",256,"GURA TEGHII",47079,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:23:28",467,467,0,348,324,0,24,510,162,331,17,5,140,3,2,2,1,3,3,2,26,5,3,0,12,6,118
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PĂNĂTĂU",302,PĂNĂTĂU,48227,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:54:39",1165,1165,0,694,677,0,17,1280,586,653,41,1,474,1,7,3,5,2,1,1,16,20,3,0,19,12,88
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",36,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:16:14",1141,1141,0,496,487,0,9,1291,804,467,20,7,259,10,7,8,5,4,3,1,15,32,16,2,12,15,71
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",35,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:27:38",888,888,0,365,353,0,12,1000,635,353,12,1,175,2,9,5,8,5,0,4,35,24,13,4,13,5,50
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",37,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:32:27",1454,1454,0,610,601,0,9,1599,993,589,17,3,330,5,13,7,3,3,6,5,30,36,27,2,27,18,74
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PIETROASELE",311,PIETROASELE,48487,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:48:43",1454,1454,0,837,779,0,58,1600,763,806,31,0,410,1,13,10,3,8,12,2,189,37,11,1,16,7,86
10,BUZĂU,"ŞCOALA GIMNAZIALA PITULICEA",244,"GLODEANU SĂRAT",46867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:03:19",727,727,0,548,534,0,14,790,242,497,51,7,357,2,8,1,2,4,7,3,12,22,3,0,0,9,60
