precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:44:36",1143,1143,0,546,529,0,17,1250,704,525,21,21,4,7,4,3,3,4,2,71,9,332,3,12,27,3,20
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:00:12",1796,1796,0,1102,1061,0,41,2000,898,1021,81,17,8,6,7,10,7,11,1,123,16,578,8,23,139,5,62
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:52",1131,1131,0,739,625,0,114,1200,461,720,19,14,4,8,4,23,9,19,5,103,85,186,5,32,202,4,17
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:00:48",1249,1249,0,716,699,0,17,1350,634,687,29,6,6,9,5,17,5,1,8,92,11,431,1,25,19,1,50
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 03:09:30",1378,1378,0,983,952,0,31,1500,517,929,54,32,11,2,7,19,3,2,1,140,11,581,2,28,38,4,48
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:20:19",1123,1123,0,746,706,0,40,1200,454,719,27,17,7,2,6,8,5,4,4,134,24,384,2,20,73,4,25
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:26",1273,1273,0,813,679,0,134,1400,587,786,27,23,1,7,5,17,2,12,4,100,32,386,6,22,138,5,26
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:27",1826,1826,0,753,722,0,31,2000,1247,716,37,5,1,15,0,16,1,10,0,109,22,405,7,17,50,6,52
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:51:02",1883,1883,0,723,716,0,7,2050,1327,688,35,16,6,14,3,17,5,8,3,129,19,336,7,17,47,12,49
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:51:03",1250,1250,0,505,488,0,17,1350,845,505,0,8,8,5,4,9,4,8,0,76,13,279,4,17,36,2,32
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:36:25",1368,1368,0,619,599,0,20,1500,881,594,25,9,4,11,3,15,3,9,2,95,10,332,7,15,34,3,42
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:35:57",1242,1242,0,512,492,0,20,1347,835,506,6,13,5,3,1,7,0,6,3,87,10,268,1,29,39,8,26
25,ILFOV,"GRĂDINIȚA NR. 1 ȘTEFĂNEȘTII DE JOS",278,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:53:26",831,831,0,682,647,0,35,900,218,653,29,7,1,3,1,5,3,28,3,58,2,270,6,11,12,0,243
25,ILFOV,"GRADINITA NR. 1- ȚEGHEȘ",220,DOMNEŞTI,102570,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:10",1058,1058,0,771,664,0,107,1150,379,752,19,10,7,4,3,12,2,3,1,69,24,527,3,10,37,4,36
25,ILFOV,"GRADINITA NR.2",153,BRĂNEŞTI,101298,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:10:15",1014,1014,0,586,550,0,36,1100,514,553,33,9,0,4,2,13,5,8,9,69,20,365,1,18,0,1,29
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 03:49:46",429,429,0,298,267,0,31,500,202,280,18,2,1,1,6,2,1,4,0,47,9,134,0,8,44,2,19
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:03:03",1176,1176,0,625,597,0,28,1300,675,599,26,22,11,5,9,10,5,36,2,68,21,295,2,30,52,7,24
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:10:57",679,679,0,495,468,0,27,761,266,457,35,15,12,3,6,4,1,2,2,50,9,281,2,5,28,4,33
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:30:06",1366,1366,0,816,792,0,24,1500,684,793,23,25,8,11,3,11,3,18,2,94,28,460,1,30,56,2,41
