precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",27,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:28",1261,1261,0,526,515,0,11,1390,864,503,23,27,3,294,3,18,34,2,1,6,6,65,6,7,10,13,8
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",30,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:29:30",1313,1311,2,590,579,2,9,1445,855,578,12,39,2,298,9,23,46,5,4,3,6,83,3,0,16,27,14
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",28,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:46:35",1317,1317,0,474,468,0,6,1450,976,452,22,13,1,285,4,11,14,2,5,6,10,71,3,0,14,6,7
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",29,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 07:49:56",1287,1287,0,558,549,0,9,1420,862,530,28,19,2,331,3,8,29,8,0,7,10,74,5,3,11,14,6
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",47,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:26",1009,1009,0,449,439,0,10,1115,666,418,31,11,2,165,0,16,98,2,0,6,12,71,3,3,3,19,7
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",46,"MUNICIPIUL ROŞIORI DE VEDE",151870,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:51:44",1289,1289,0,395,383,0,12,1432,1037,370,25,16,1,185,0,2,76,3,3,5,4,65,1,0,3,6,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",45,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:43:27",1223,1223,0,502,476,0,26,1355,853,468,34,24,2,283,1,8,67,2,1,2,3,61,2,0,2,7,3
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ANTONEŞTI",125,CĂLINEŞTI,152350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:09",212,212,0,223,151,0,72,235,12,211,12,9,2,173,0,0,1,2,0,3,1,12,0,5,2,1,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BĂBĂIŢA",94,BĂBĂIŢA,152038,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:27:19",1375,1375,0,990,921,0,69,1515,525,950,40,23,0,747,2,1,6,3,3,1,1,151,0,6,3,2,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BOGDANA",104,BOGDANA,152127,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:34",683,683,0,518,478,0,40,745,227,479,39,26,3,369,0,5,7,3,1,0,4,39,8,6,4,2,2
36,TELEORMAN,"SCOALA GIMNAZIALA BRANCENI",116,BRÂNCENI,152252,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:04",1026,1026,0,669,611,0,58,1135,466,629,40,27,1,416,2,11,22,1,1,6,4,117,2,2,5,9,3
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BUZESCU",123,BUZESCU,152332,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:55",1119,1119,0,775,721,0,54,1230,455,713,62,19,1,578,2,5,12,8,2,4,3,67,2,2,1,5,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CĂLINEȘTI",124,CĂLINEŞTI,152350,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:41:32",1102,1102,0,913,810,0,103,1200,287,904,9,28,0,805,0,1,6,4,0,3,0,45,0,7,4,0,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂŢUIU (FOST LOCAL AL ȘCOLII CU CLASELE I-IV)",128,CĂLMĂŢUIU,152412,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:22",459,459,0,344,283,0,61,505,161,324,20,9,0,268,0,2,3,4,1,0,2,27,0,2,4,2,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂȚUIU ( FOST LOCAL AL ȘCOLII CU CLASELE I-IV )",129,CĂLMĂŢUIU,152412,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:34:39",209,209,0,163,145,0,18,230,67,159,4,3,0,106,0,0,3,0,0,0,3,38,1,2,0,0,3
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂȚUIU ( FOST LOCAL AL ȘCOLII NICOLAE BĂLCESCU )",131,CĂLMĂŢUIU,152412,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:10:48",420,420,0,320,266,0,54,465,145,300,20,8,2,188,1,0,0,1,0,0,0,93,2,4,1,0,0
