precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
30,OLT,"BIBLIOTECA COMUNALĂ",365,"VIŞINA NOUĂ",130375,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:06:01",1367,1367,0,1042,917,0,125,1508,591,881,36,93,6,0,17,0,9,18,3,705,1,1,2,11,12,2,1
30,OLT,"CAMIN C ULTURAL",320,STREJEŞTI,129139,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:00:39",395,395,0,314,286,0,28,436,122,298,16,46,2,2,24,1,5,5,6,189,1,7,1,0,7,0,2
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:27",171,171,0,115,109,0,6,188,73,108,7,12,0,0,10,0,0,2,0,82,0,1,0,1,0,0,0
30,OLT,"CĂMIN CULTURAL",283,RADOMIREŞTI,128472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:29:02",946,946,0,529,500,0,29,1043,514,488,41,58,6,1,30,0,7,2,3,352,3,7,2,2,13,0,2
30,OLT,"CĂMIN CULTURAL",222,"GURA PADINII",130339,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:51:59",1360,1360,0,939,927,0,12,1499,560,893,46,70,3,1,24,7,3,3,4,736,7,6,3,2,20,2,2
30,OLT,"CĂMIN CULTURAL",276,PERIEŢI,128052,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:33:53",1601,1601,0,1095,1013,0,82,1754,659,1011,84,151,7,3,65,5,6,10,2,672,9,15,7,13,40,3,3
30,OLT,"CĂMIN CULTURAL COMĂNIȚA",334,TESLUI,129380,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:04:51",710,710,0,518,465,0,53,784,266,491,27,62,2,2,19,5,2,5,1,371,8,5,2,3,2,1,1
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:04:48",402,402,0,289,241,0,48,444,155,270,19,35,0,0,13,1,4,3,3,194,2,7,0,1,5,1,1
30,OLT,"CAMIN CULTURAL STUDINA",322,STUDINA,129184,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:50:51",1217,1217,0,810,777,0,33,1345,535,756,54,83,1,1,50,6,8,0,7,570,5,7,3,3,11,1,0
30,OLT,"CAMIN CULTURAL STUDINIȚA",323,STUDINA,129184,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:10:49",916,916,0,544,526,0,18,990,446,491,53,73,3,0,24,0,0,0,0,362,20,0,0,4,5,0,0
