precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",20,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:55:40",1753,1753,0,823,804,0,19,1928,1105,803,20,2,33,125,5,4,21,23,3,0,8,2,52,361,27,30,107
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",19,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:09:10",1633,1633,0,746,720,0,26,1795,1049,730,16,6,35,135,2,7,9,11,6,5,4,3,32,308,21,29,117
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „IONEL SÎRBU” CIORĂȘTI",137,CIORĂŞTI,175590,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:58:58",150,150,0,89,84,0,5,166,77,79,10,0,2,12,0,0,0,2,1,1,1,0,0,52,1,1,6
41,VRANCEA,"SCOALA GIMNAZIALA JARISTEA",195,JARIŞTEA,176506,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:16:10",1656,1656,0,889,848,0,41,1791,902,840,49,1,25,92,3,0,0,7,29,1,1,8,10,631,6,5,21
41,VRANCEA,"ȘCOALA GIMNAZIALĂ LĂSTUNI",161,DUMITREŞTI,175983,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:13:22",245,245,0,188,163,0,25,268,80,184,4,0,3,27,0,1,1,2,0,0,0,1,0,145,0,2,2
41,VRANCEA,"SCOALA GIMNAZIALA MAICANESTI",204,MĂICĂNEŞTI,176613,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:38:52",1080,1080,0,631,578,0,53,1199,568,571,60,4,13,66,0,0,6,4,4,2,0,20,6,425,0,2,19
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MAREȘAL ALEXANDRU AVERESCU”",62,"MUNICIPIUL ADJUD",174860,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:56:12",1319,1319,0,538,531,0,7,1445,907,498,40,1,30,61,3,0,117,4,0,7,1,3,4,236,6,10,15
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MIHAIL ARMENCEA”",61,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:38:21",981,981,0,458,443,0,15,1093,635,431,27,4,22,77,1,2,16,14,2,1,4,1,15,223,10,16,23
41,VRANCEA,"ŞCOALA GIMNAZIALĂ MIRCEŞTII NOI",327,VÂNĂTORI,178607,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:18",771,771,0,387,379,0,8,851,464,359,28,6,18,89,5,4,1,13,0,3,1,3,7,152,3,10,44
41,VRANCEA,"SCOALA GIMNAZIALA NEREJU-MIC",229,NEREJU,176944,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:45:23",1511,1511,0,985,968,0,17,1670,685,905,80,3,60,148,0,2,2,5,11,6,4,10,8,633,2,3,8
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",46,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:26:37",1421,1421,0,544,528,0,16,1575,1031,531,13,1,35,75,4,0,11,14,5,3,5,4,15,275,8,16,60
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",47,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:44:45",1203,1203,0,726,716,0,10,1322,597,698,27,6,49,116,4,1,10,27,1,7,2,0,30,296,16,41,92
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",44,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:54",1368,1368,0,550,530,0,20,1516,966,526,24,6,29,86,6,2,5,21,1,6,6,4,14,257,7,11,65
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",48,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:35:50",1545,1545,0,561,550,0,11,1705,1144,561,0,6,27,96,2,1,5,30,3,6,3,6,16,292,9,21,38
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",45,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:10:01",1419,1419,0,593,571,0,22,1564,971,564,29,2,32,90,6,4,4,20,4,7,0,5,13,291,9,32,45
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NISTOREȘTI",231,NISTOREŞTI,177003,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:11:34",831,831,0,469,421,0,48,914,445,430,39,1,14,97,1,0,0,4,9,3,0,2,2,279,4,6,8
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1- CORP A",212,MERA,176686,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:07:14",1568,1568,0,940,885,0,55,1727,787,883,57,3,49,137,1,2,9,3,21,9,4,22,6,601,5,4,7
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",266,REGHIU,177469,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:03:02",932,932,0,575,556,0,19,1028,453,544,31,1,18,33,0,0,2,3,4,7,0,2,3,440,2,6,23
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",267,REGHIU,177469,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:48",501,501,0,273,263,0,10,551,278,257,16,0,6,27,1,1,2,1,2,3,2,1,9,194,0,0,8
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",79,"ORAŞ MĂRĂŞEŞTI",174922,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:31:08",1144,1144,0,446,435,0,11,1258,812,427,19,1,19,112,0,1,22,2,2,2,5,1,10,202,0,9,39
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",80,"ORAŞ MĂRĂŞEŞTI",174922,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:25:30",297,297,0,122,109,0,13,327,205,118,4,2,7,34,1,1,7,6,0,1,0,0,0,50,2,3,4
41,VRANCEA,"SCOALA GIMNAZIALA NR. 2 BORDEASCA VECHE",302,TĂTĂRANU,177986,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:32",585,585,0,322,306,0,16,644,322,297,25,2,10,29,0,0,2,2,3,2,1,2,1,230,2,2,9
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2 GUGEŞTI",181,GUGEŞTI,176301,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:48:50",1424,1424,0,723,678,0,45,1571,848,690,33,2,34,88,3,4,6,0,6,11,2,5,4,468,11,12,34
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.4 OREAVU",184,GUGEŞTI,176301,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 20:03:13",440,440,0,222,200,0,22,483,261,201,21,2,15,20,2,1,3,2,0,4,1,1,1,143,1,1,4
41,VRANCEA,"SCOALA GIMNAZIALĂ OBREJIŢA",233,OBREJIŢA,178947,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:25:39",1298,1298,0,878,812,0,66,1426,548,821,55,1,52,114,0,4,2,17,6,16,1,4,2,575,3,6,18
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”PETRACHE BLÎNDU”",173,GAROAFA,176212,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:09:33",1326,1326,0,743,714,0,29,1457,714,682,61,4,30,142,2,0,1,1,17,8,2,4,6,435,8,3,19
41,VRANCEA,"SCOALA GIMNAZIALA „ PICTOR MIHAIL BALASESCU” BAHNELE",345,VINTILEASCA,178475,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:04:54",459,459,0,279,262,0,17,504,225,250,29,0,9,32,2,0,0,5,1,1,0,0,0,200,0,0,0
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „PRINCIPELE RADU”",66,"MUNICIPIUL ADJUD",174860,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:11:26",1383,1383,0,574,565,0,9,1527,953,543,25,3,31,96,3,1,63,6,3,8,3,5,16,250,7,14,34
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” A",63,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:02:13",1174,1174,0,476,462,0,14,1293,817,453,23,5,20,47,3,4,35,12,5,5,5,2,9,259,7,11,24
