precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
2,ARAD,"CAMINUL CULTURAL LIVADA",308,LIVADA,9333,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:22",699,684,5,10,0,444,434,0,10,0,440,4,747,303,93,89,135,48,2,51,5,17
2,ARAD,"ŞCOALA GIMNAZIALĂ LIVADA",307,LIVADA,9333,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:16",1353,1342,0,9,2,755,744,0,9,2,738,17,1470,715,76,238,204,78,7,47,37,51
2,ARAD,"ŞCOALA GIMNAZIALĂ SÂNLEANI",309,LIVADA,9333,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:18",1500,1479,9,5,7,808,793,3,5,7,777,31,1630,822,103,208,224,84,67,48,14,29
