precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
14,CONSTANŢA,"CĂMIN CULTURAL SAT CIOCÎRLIA",397,CIOCÂRLIA,61283,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:58:57",1327,1267,1,35,24,896,837,0,35,24,861,35,1378,482,351,27,406,68,9
14,CONSTANŢA,"CĂMIN CULTURAL SAT CIOCÎRLIA DE SUS",398,CIOCÂRLIA,61283,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:48:24",1259,1231,0,5,23,863,835,0,5,23,823,40,1350,487,217,41,408,143,14
