precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOCIOI MARIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GEOGIA VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL ADI-ŞTEFĂNIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
20,GORJ,"CĂMIN CULTURAL BĂLCEŞTI",155,BENGEŞTI-CIOCADIA,78873,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:45",632,617,0,13,2,404,389,0,13,2,394,10,700,296,54,185,155
20,GORJ,"CĂMIN CULTURAL BENGEŞTI",154,BENGEŞTI-CIOCADIA,78873,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:46",287,277,0,8,2,190,180,0,8,2,186,4,300,110,44,129,13
20,GORJ,"ȘCOALA GIMNAZIALĂ BENGEȘTI NR. 1",153,BENGEŞTI-CIOCADIA,78873,2,PART,PRCNCT,P,P_SV,"2024-06-11 18:03:59",984,959,1,14,10,531,507,0,14,10,503,28,1022,491,147,311,45
20,GORJ,"ȘCOALA PRIMARĂ CIOCADIA",156,BENGEŞTI-CIOCADIA,78873,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:25",718,704,1,12,1,413,400,0,12,1,399,14,800,387,118,232,49
