precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi","SOLOMEŞ IACOB-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA ALICENI",307,TÂRŞOLŢ,139143,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:54:34",383,356,9,13,5,144,133,0,6,5,132,12,388,244,76,7,20,4,1,0,18,5,1
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",306,TÂRŞOLŢ,139143,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:00",861,848,0,7,6,238,225,0,7,6,216,22,1000,762,109,45,6,26,9,2,4,10,5
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",305,TÂRŞOLŢ,139143,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:10",1351,1331,0,8,12,466,446,0,8,12,439,27,1400,934,159,82,19,49,29,41,7,25,28
