precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:31",587,537,2,18,30,436,386,2,18,30,418,18,590,153,214,106,36,9,6,47
1,ALBA,"ŞCOALA GIMNAZIALĂ LĂZEȘTI",389,SCĂRIŞOARA,7197,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:01",206,189,0,5,12,136,119,0,5,12,132,4,210,74,70,11,46,4,0,1
1,ALBA,"ŞCOALA PRIMARĂ NEGEȘTI",390,SCĂRIŞOARA,7197,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:12:35",155,139,0,9,7,117,101,0,9,7,113,4,150,33,52,39,8,2,3,9
1,ALBA,"ŞCOALA PRIMARĂ RUNC",391,SCĂRIŞOARA,7197,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:52",149,129,0,7,13,109,89,0,7,13,104,5,140,31,40,19,15,1,4,25
1,ALBA,"ŞCOALA PRIMARĂ SFOARTEA",392,SCĂRIŞOARA,7197,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:16",74,61,0,8,5,55,42,0,8,5,53,2,67,12,33,11,6,2,0,1
1,ALBA,"ŞCOALA PRIMARĂ ȘTIULEȚI",393,SCĂRIŞOARA,7197,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:09",131,109,0,8,14,103,81,0,8,14,101,2,120,17,48,24,15,2,10,2
