precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HUSZTI CLAUDIU-GABRIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","TÖRÖK EUFIMIA-AMALIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROŞU FLAVIUS-ALIN-ALIANȚA PENTRU ȘAG-voturi","LUCA FLORIN-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","CIOCÎRLAN DUMITRU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","RĂDUCĂ CRISTIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",566,ŞAG,158779,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:47",1406,1345,10,39,12,802,768,10,12,12,754,0,1559,774,25,13,622,54,19,21
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",567,ŞAG,158779,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:16:02",1578,1475,11,22,70,1027,932,3,22,70,999,28,1600,573,54,26,809,70,22,18
37,TIMIŞ,"ȘCOALĂ - MUZEU",568,ŞAG,158779,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:17",1552,1486,10,47,9,1055,1000,0,47,8,1036,19,1606,545,66,11,866,40,11,42
