precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PUPĂZĂ VALERICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CENTRUL CULTURAL",292,CÂRCEA,74859,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:41",2105,1946,12,107,40,1369,1221,1,107,40,1351,18,2081,712,178,1173
17,DOLJ,"LICEUL TEHNOLOGIC ”CONSTANTIN IANCULESCU”",293,CÂRCEA,74859,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:20",1324,1253,8,49,14,767,704,0,49,14,744,23,1400,633,132,612
