precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"URIAN EMIL-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","BOARIU MIHAI-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"FOSTUL SEDIU CAP SOROŞTIN",354,"ŞEICA MICĂ",145738,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:03",450,428,0,10,12,338,316,0,10,12,324,14,480,142,291,33
34,SIBIU,PRIMARIA,353,"ŞEICA MICĂ",145738,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:11",1012,971,14,2,25,480,452,1,2,25,465,15,1108,628,296,169
