precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COTOI DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂRCUŞ IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","OPREA ZAHARIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PUSKAS RAMONA-MIHAELA-UNIUNEA NAȚIUNII ROMÂNE-voturi"
28,MUREŞ,"CĂMIN CULTURAL BATOŞ",259,BATOŞ,115520,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:29",1088,1076,0,6,6,586,574,0,6,6,567,19,1200,614,186,340,34,7
28,MUREŞ,"CĂMIN CULTURAL DEDRAD",260,BATOŞ,115520,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:23:41",1344,1332,0,10,2,756,744,0,10,2,746,10,1462,706,586,95,58,7
28,MUREŞ,"CĂMIN CULTURAL GORENI",261,BATOŞ,115520,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:04",489,476,0,5,8,294,281,0,5,8,281,13,540,246,207,58,12,4
28,MUREŞ,"CĂMIN CULTURAL UILA",262,BATOŞ,115520,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:07",478,468,0,7,3,225,215,0,7,3,213,12,520,295,122,86,5,0
