precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IATAGAN CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","OPRESCU CLAUDIA-IULIANA-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL ŞUICI",485,ŞUICI,19141,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:19",941,931,0,0,10,640,630,0,0,10,623,15,1038,400,472,151
3,ARGEŞ,"ŞCOALA IANCULEŞTI",486,ŞUICI,19141,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:47",210,205,0,5,0,123,118,0,5,0,119,4,223,100,94,25
3,ARGEŞ,"ŞCOALA PRIMARĂ RUDENI",487,ŞUICI,19141,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:43",639,630,0,5,4,454,445,0,5,4,449,5,708,254,350,99
3,ARGEŞ,"ŞCOALA PRIMARĂ VALEA CALULUI",488,ŞUICI,19141,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:38:39",88,82,0,6,0,54,48,0,6,0,52,2,90,36,40,12
