precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOROŞ GEORGEL-GRIGORE-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","TRIFON GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA ALICENI",307,TÂRŞOLŢ,139143,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:36",383,356,9,13,5,144,133,0,6,5,141,3,403,259,130,11
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",306,TÂRŞOLŢ,139143,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:56",861,848,0,7,6,238,225,0,7,6,225,13,1000,762,138,87
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",305,TÂRŞOLŢ,139143,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:12",1351,1331,0,8,12,466,446,0,8,12,448,18,1400,934,224,224
