precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BALAN VIŞINEL-COSTEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÂRCĂLĂBESCU VALENTIN-GABRIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","BADEA MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ENACHE CLAUDIU-NICUŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DINU FLORENTINA-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂUN ALEXANDRU-AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 1 JOIȚA",169,JOIŢA,103997,3,PART,PRCNCT,P,P_SV,"2024-06-11 12:39:30",1897,1847,2,37,11,1192,1144,0,37,11,1172,20,2034,842,115,21,31,75,200,730
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 2 BÎCU",170,JOIŢA,103997,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:07:53",1532,1439,3,82,8,1072,982,0,82,8,1044,28,1580,508,111,98,9,23,526,277
