precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUCIN LUCHIAN-ROMEO-UNIUNEA SALVAȚI ROMÂNIA-voturi","MARIŞ MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi","MORAR MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
28,MUREŞ,"FOSTA ŞCOALĂ GENERALĂ LUIERIU",538,SUSENI,119723,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:49",497,478,0,7,12,343,324,0,7,12,329,14,540,197,1,175,153
28,MUREŞ,"ŞCOALA GIMNAZIALĂ SUSENI",537,SUSENI,119723,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:28:52",1498,1454,2,27,15,941,899,0,27,15,892,49,1692,751,11,396,485
