precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIFU GEORGE-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGNE MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DULGHERU ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL FRUMOASA",174,FRUMOASA,152993,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:24:27",705,671,0,12,22,510,476,0,12,22,484,26,755,245,126,345,13
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 FRUMOASA",175,FRUMOASA,152993,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:44:48",423,404,0,5,14,315,296,0,5,14,309,6,455,140,120,182,7
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 PĂULEASCA",176,FRUMOASA,152993,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:26:37",394,372,0,13,9,289,267,0,13,9,280,9,418,129,137,140,3
