precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETREA VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","BALINT RĂDUCU-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","LUPU MARCEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","CAŞCAVAL ŞTEFAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","BERCARU FĂNICĂ-PARTIDUL S.O.S. ROMÂNIA-voturi","IRIMIA MIHAI-PARTIDUL PRO ROMÂNIA-voturi"
24,IAŞI,"CASA DE PRĂZNUIRE BAZGA",616,RĂDUCĂNENI,98685,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:54:04",1217,1211,0,3,3,541,535,0,3,3,520,19,1300,761,5,245,232,7,11,3,17
24,IAŞI,"SCOALA GENERALA BOHOTIN",617,RĂDUCĂNENI,98685,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:52:01",1266,1257,0,5,4,509,500,0,5,4,485,24,1300,791,107,67,276,13,9,12,1
24,IAŞI,"ŞCOALA GENERALĂ ISAIIA",618,RĂDUCĂNENI,98685,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:53",238,230,0,8,0,106,98,0,8,0,98,8,300,194,10,26,55,2,0,2,3
24,IAŞI,"ŞCOALA GENERALA RADUCANENI",615,RĂDUCĂNENI,98685,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:04",1305,1296,0,1,8,514,505,0,1,8,491,23,1400,886,8,136,324,16,5,0,2
24,IAŞI,"ȘCOALA GENERALĂ RĂDUCĂNENI",614,RĂDUCĂNENI,98685,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:11",1519,1500,0,5,14,535,516,0,5,14,505,30,1600,1065,8,144,305,29,13,4,2
24,IAŞI,"ȘCOALA GENERALĂ RĂDUCĂNENI",613,RĂDUCĂNENI,98685,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:23",1243,1228,0,2,13,502,487,0,2,13,440,22,1300,798,10,111,313,0,0,3,3
24,IAŞI,"ȘCOALA GIMNAZIALĂ ROȘU",619,RĂDUCĂNENI,98685,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:46:13",537,522,0,10,5,193,178,0,10,5,171,22,600,407,8,81,71,8,3,0,0
