precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”",315,FEREŞTI,167295,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:04",1844,1794,0,8,42,571,521,0,8,42,546,25,1704,1133,110,427,9
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”, FEREŞTI",314,FEREŞTI,167295,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:47",1565,1548,0,4,13,301,284,0,4,13,295,6,1600,1299,74,215,6
