precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TÖRÖK LÁSZLÓ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PIRTEA MIHAI-GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","HARDALĂU TUDOR-TIBERIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SALA RĂZVAN-SERGIU-UNIUNEA SALVAȚI ROMÂNIA-voturi","SZATMARI ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","KENÉZ LÁSZLÓ-RÓBERT-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","GYULAI SÁNDOR-ATTILA-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi"
5,BIHOR,"CASA DE CULTURĂ ZILAHY LAJOS",170,"MUNICIPIUL SALONTA",26975,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:58:30",1404,1378,11,7,8,604,588,1,7,8,600,3,1573,969,435,59,14,25,55,3,9
5,BIHOR,"CASA SFÂNTUL ANTON",175,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:27:56",480,468,2,7,3,273,263,0,7,3,265,8,524,251,198,17,4,15,13,10,8
5,BIHOR,"CENTRU ECONOMIC DE EDUCAȚIE ȘI AFACERI",173,"MUNICIPIUL SALONTA",26975,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:46",1253,1238,4,5,6,525,514,0,5,6,513,12,1373,848,296,77,17,35,69,10,9
5,BIHOR,"COLEGIUL NAȚIONAL TEODOR NEŞ",172,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:54",740,732,3,4,1,382,377,0,4,1,371,11,812,430,236,39,7,33,37,13,6
5,BIHOR,"FOSTUL MAGAZIN WAGNER",166,"MUNICIPIUL SALONTA",26975,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:53",1508,1490,6,7,5,752,739,1,7,5,723,29,1645,893,543,60,14,30,39,27,10
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”URSULEȚ„SALONTA",174,"MUNICIPIUL SALONTA",26975,5,PART,PRCNCT,P,P_SV,"2024-06-10 13:54:28",567,556,2,9,0,194,185,0,9,0,191,2,619,426,89,29,8,26,35,0,4
5,BIHOR,"GRĂDINIȚA CURCUBEU",169,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:39",833,814,3,12,4,495,479,0,12,4,481,14,916,421,394,34,7,15,15,10,6
5,BIHOR,"GRĂDINIȚA FLOAREA SOARELUI",167,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:18",1546,1514,0,8,24,858,826,0,8,24,829,29,1671,813,694,45,7,24,43,9,7
5,BIHOR,"GRĂDINIȚA FLUIERAȘUL FERMECAT",177,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:37",1533,1519,3,4,7,821,810,0,4,7,810,11,1705,884,586,57,17,47,65,22,16
5,BIHOR,"GRĂDINIȚA PRICHINDEL",179,"MUNICIPIUL SALONTA",26975,4,PART,PRCNCT,P,P_SV,"2024-06-10 13:57:27",829,822,0,5,2,447,440,0,5,2,436,11,912,465,331,23,11,24,27,9,11
5,BIHOR,"GRĂDINIȚA TOLDI",171,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:48",1085,1066,7,5,7,462,448,2,5,7,453,9,1193,731,306,58,11,24,35,10,9
5,BIHOR,"LICEUL TEHNOLOGIC NR.1",178,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:44",832,819,6,3,4,416,409,0,3,4,408,8,904,488,191,62,7,58,72,8,10
5,BIHOR,"LICEUL TEORETIC ARANY JANOS",168,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:11",1132,1121,5,4,2,617,611,0,4,2,594,17,1240,629,497,41,2,11,22,12,9
5,BIHOR,"ȘCOALA GENERALĂ",176,"MUNICIPIUL SALONTA",26975,7,PART,PRCNCT,P,P_SV,"2024-06-10 14:20:25",1141,1132,0,7,2,547,538,0,7,2,507,33,1254,714,321,48,26,26,61,13,12
5,BIHOR,"ȘCOALA GENERALĂ FÜVESKERT",180,"MUNICIPIUL SALONTA",26975,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:05",766,760,0,5,1,459,453,0,5,1,454,5,835,376,150,260,9,3,27,2,3
