precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VRABIE ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONDRACHE LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","OLARU MARIAN-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCIU SĂFTICA-UNIUNEA SALVAȚI ROMÂNIA-voturi","UNGUREANU GHIŢĂ-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
18,GALAŢI,"CAMINUL CULTURAL DIN SATUL DRĂGĂNEŞTI",287,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:00:35",1998,1986,0,6,6,918,906,0,6,6,848,70,2120,1202,55,428,281,27,57
18,GALAŢI,"SCOALA DIN MALU ALB",288,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:49",1684,1662,0,7,15,843,821,0,7,15,811,29,1769,929,35,459,273,26,18
18,GALAŢI,"SCOALA DIN SATUL DRĂGĂNEŞTI",286,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:02",1814,1791,0,8,15,823,800,0,8,15,792,31,2100,1277,76,404,285,14,13
