precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DABA ION-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOCÎRLAN DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ROŞU TITU-PARTIDUL S.O.S. ROMÂNIA-voturi","CIOARĂ ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CIOANĂ DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
27,MEHEDINŢI,"CENTRUL DE ZI TÂMNA",275,TÂMNA,113732,2,PART,PRCNCT,P,P_SV,"2024-06-12 18:15:29",539,470,0,56,13,398,334,0,51,13,391,7,533,135,17,188,19,17,150
27,MEHEDINŢI,"PRIMĂRIA TÎMNA",274,TÂMNA,113732,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:57",1035,991,0,34,10,401,357,0,34,10,387,14,1136,735,9,158,7,37,176
27,MEHEDINŢI,"ŞCOALA CREMENEA",276,TÂMNA,113732,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:15:56",154,136,0,18,0,98,80,0,18,0,93,5,149,51,1,36,0,0,56
27,MEHEDINŢI,"SCOALA CU CLASELE I-VIII",277,TÂMNA,113732,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:47",277,242,0,26,9,209,174,0,26,9,202,7,259,50,1,158,0,1,42
27,MEHEDINŢI,"ŞCOALA GENERALĂ PLOPI",278,TÂMNA,113732,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:04",523,489,0,28,6,316,282,0,28,6,308,8,541,225,39,168,6,6,89
