precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:27:12",1651,1598,0,6,47,1138,1085,0,6,47,1104,34,1800,662,736,368
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SITARU",236,GRĂDIŞTEA,103443,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:34:58",878,840,1,6,31,589,552,0,6,31,559,30,981,392,389,170
