precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢONE PETRE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BEŞTEA MIHĂIŢĂ-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MILESCU COSTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULAE MIREL-PARTIDUL S.O.S. ROMÂNIA-voturi","FILIMON MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PETRE LEONARD-FLORIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","TOMOIAGĂ DOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:15:21",1107,1097,0,7,3,591,581,0,7,3,568,23,1215,624,34,323,153,6,4,31,17
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:06",1743,1717,3,12,11,870,847,0,12,11,842,22,1914,1044,30,555,148,2,10,73,24
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:28:45",1635,1615,1,17,2,817,798,0,17,2,801,16,1814,975,38,428,189,10,15,69,52
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:54:45",1686,1653,2,14,17,870,839,0,14,17,856,14,1824,954,39,506,199,17,10,43,42
12,CĂLĂRAŞI,"DIRECŢIA DE CULTURĂ",62,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:48:26",1550,1536,0,13,1,722,708,0,13,1,703,18,1709,988,28,357,208,16,4,70,20
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1,",55,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:05",1368,1350,3,14,1,702,687,0,14,1,677,25,1516,814,24,389,172,11,4,57,20
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",54,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:15",1091,1079,0,12,0,555,543,0,12,0,543,11,1208,649,13,282,171,3,6,41,27
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR.2",65,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:32:29",1492,1481,2,8,1,783,774,0,8,1,757,26,1624,841,35,451,170,13,12,56,20
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",60,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:22:04",1582,1572,1,7,2,749,740,0,7,2,716,33,1744,995,28,441,180,8,8,27,24
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",61,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:38:31",1572,1565,0,6,1,686,679,0,6,1,663,16,1761,1082,19,449,113,7,6,44,25
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",58,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:00",1718,1700,1,14,3,775,758,0,14,3,762,13,1876,1101,27,498,135,15,8,59,20
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR. 6 ( INCINTA ȘCOALA GIMNAZIALĂ” ALEXANDRU D. GHICA”)",52,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:39",1896,1882,0,12,2,991,977,0,12,2,935,42,2088,1111,43,582,204,26,8,52,20
12,CĂLĂRAŞI,"ŞCOALA CU CLS I-IV ”CONSTANTIN DECULESCU”",63,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:29",1703,1691,0,10,2,712,700,0,10,2,659,41,1876,1176,26,363,188,21,2,41,18
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”MIRCEA ELIADE” - SALA DE SPORT",64,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:53:37",1208,1195,3,10,0,568,558,0,10,0,557,11,1320,751,13,310,162,11,5,31,25
