precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN ELENA-DANIELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALEXANDRU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRACHE CONSTANTIN-MIREL-FORȚA DREPTEI-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",381,"COCORĂŞTII MISLII",132716,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:10",1525,1505,1,5,14,1069,1050,0,5,14,1054,15,1656,587,292,15,728,19
31,PRAHOVA,"CĂMIN CULTURAL",382,"COCORĂŞTII MISLII",132716,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:05",1232,1183,0,35,14,840,791,0,35,14,799,23,1300,478,302,24,465,8
