precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"LICEUL TEHNOLOGIC JUSTINIAN MARINA",118,"ORAŞ BĂILE OLĂNEŞTI",167696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:05",1454,1422,1,22,9,924,893,0,22,9,893,31,1560,636,196,97,381,198,21
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ DUMITRU BĂDESCU",120,"ORAŞ BĂILE OLĂNEŞTI",167696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:20:26",1373,1355,0,6,12,795,777,0,6,12,768,24,1490,695,137,59,416,128,28
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ IONESCU CHEIANU",119,"ORAŞ BĂILE OLĂNEŞTI",167696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:34",883,877,0,4,2,532,526,0,4,2,511,21,980,448,102,20,207,147,35
