precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"LICEUL TEHNOLOGIC ”OLTEA DOAMNA”",141,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:56:41",1181,1169,2,9,1,570,560,0,9,1,549,21,1289,719,226,258,47,18
35,SUCEAVA,"LICEUL TEHNOLOGIC ”OLTEA DOAMNA” ȘCOALA PRIMARĂ - CORP C",142,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:01:29",1002,992,0,7,3,516,506,0,7,3,507,9,1103,587,189,250,47,21
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ BUDENI",144,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:13:53",1141,1129,0,10,2,531,519,0,10,2,499,32,1250,719,247,178,43,31
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ GULIA",145,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 21:36:32",1885,1881,0,4,0,789,785,0,4,0,741,48,2072,1283,454,229,22,36
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ PROBOTA",148,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:46:34",1446,1433,0,13,0,717,704,0,13,0,689,28,1576,859,350,277,48,14
35,SUCEAVA,"ŞCOALA PRIMARĂ POIANA",146,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:48",369,357,0,12,0,174,162,0,12,0,172,2,392,218,71,75,18,8
35,SUCEAVA,"ŞCOALA PRIMARĂ POIENARI",147,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:57:58",235,230,0,5,0,122,117,0,5,0,116,6,253,131,48,37,28,3
35,SUCEAVA,"ŞCOALA PRIMARĂ SÂNDENI",143,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:32",721,717,0,4,0,360,356,0,4,0,344,16,788,428,202,96,35,11
35,SUCEAVA,"ȘCOALA PRIMARĂ SILIȘTEA NOUĂ",149,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:41",610,602,0,7,1,330,322,0,7,1,316,14,681,351,162,121,24,9
35,SUCEAVA,"ŞCOALA PRIMARĂ VALEA POIENII",150,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:19:52",408,401,0,7,0,222,215,0,7,0,214,8,441,219,138,51,19,6
