precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLTEAN IOAN-AURELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VANCEA DOREL-GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","MAIER-MĂDĂRĂŞAN CIPRIAN-MARIUS-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ȘĂULIA",539,ŞĂULIA,119750,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:58",1279,1204,0,28,47,910,835,0,28,47,859,51,1288,378,72,395,392
28,MUREŞ,"CLUBUL TINERETULUI ȘĂULIA",540,ŞĂULIA,119750,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:41",284,249,0,27,8,207,172,0,27,8,199,8,290,83,15,98,86
