precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OIŢĂ VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIŞCU LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCALEŢ MĂDĂLIN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"CĂMINUL CULTURAL",266,ORLEA,127938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:32:32",1275,1224,0,8,43,838,787,0,8,43,828,10,1345,507,589,42,197
30,OLT,"CĂMINUL CULTURAL",267,ORLEA,127938,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:34",537,518,1,1,17,380,361,1,1,17,379,1,570,190,278,5,96
