precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL",494,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:06",380,372,0,8,0,380,372,0,8,0,362,18,732,352,62,225,59,14,2
14,CONSTANŢA,"CENTRUL PENTRU TINERET",490,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:58",1383,1368,2,5,8,630,617,0,5,8,621,9,1509,879,57,435,77,42,10
14,CONSTANŢA,"GRĂDINIŢA DOMINO",485,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:37",1245,1236,1,7,1,659,650,1,7,1,636,20,1362,706,44,461,65,41,25
14,CONSTANŢA,"GRĂDINIŢA PINOCHIO",486,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:58",1229,1217,1,10,1,722,711,0,10,1,640,17,1343,623,51,449,66,59,15
14,CONSTANŢA,"GRĂDINIŢA PITICOT",488,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:23",796,788,2,6,0,393,387,0,6,0,382,11,854,461,56,255,41,24,6
14,CONSTANŢA,"GRĂDINIŢA PITICOT",487,"MIHAIL KOGĂLNICEANU",62191,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:20",728,723,0,5,0,306,301,0,5,0,286,20,804,498,26,191,33,29,7
14,CONSTANŢA,"ŞCOALA GENERALĂ",492,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:23:36",272,261,1,10,0,168,158,0,10,0,166,2,288,120,9,110,31,16,0
14,CONSTANŢA,"ŞCOALA GENERALĂ CERES",491,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:35:48",371,363,0,8,0,194,186,0,8,0,185,9,404,210,19,116,24,23,3
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.2",489,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:05",1178,1162,0,7,9,608,592,0,7,9,595,13,1275,667,60,389,76,27,43
14,CONSTANŢA,"UNITATEA AGRICOLĂ SIBIOARA, CENTRUL PENTRU TINERET",493,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:59",364,351,0,10,3,220,207,0,10,3,216,4,391,171,17,166,23,10,0
