precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL RĂSMIREŞTI",259,RĂSMIREŞTI,153909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:06",790,591,2,164,33,624,425,2,164,33,608,16,740,116,391,179,24,2,12
36,TELEORMAN,"CĂMINUL CULTURAL SILIŞTEA",282,SILIŞTEA,154228,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:45",1029,972,0,26,31,796,739,0,26,31,767,29,1070,274,200,442,29,60,36
36,TELEORMAN,"CĂMINUL CULTURAL TECUCI",93,BALACI,151996,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:31:29",552,489,0,32,31,405,342,0,32,31,395,10,540,135,14,202,162,3,14
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE JOS",322,VÂRTOAPE,154932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:38",707,636,1,39,31,547,477,0,39,31,547,0,735,180,254,293,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE SUS",320,VÂRTOAPE,154932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:29",839,756,0,58,25,629,546,0,58,25,605,24,825,196,218,276,89,10,12
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:58",414,397,0,16,1,414,397,0,16,1,393,14,1110,697,37,176,34,139,7
36,TELEORMAN,"CASA DE CULTURA VIDELE",76,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:15:07",1465,1443,0,21,1,951,929,0,21,1,915,36,1590,639,390,283,91,109,42
36,TELEORMAN,"CENTRU DE ZI",160,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:00",64,56,0,1,7,50,42,0,1,7,48,2,70,20,35,10,2,1,0
36,TELEORMAN,"CENTRU DE ZI",161,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:30",139,109,0,5,25,118,88,0,5,25,116,2,140,22,105,7,2,1,1
36,TELEORMAN,"CENTRU EDUCAȚIONAL",71,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:39",1229,1223,0,6,0,400,394,0,6,0,377,23,1350,950,219,50,71,21,16
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:34:30",1014,1007,0,5,2,412,405,0,5,2,388,24,1110,698,29,209,42,94,14
36,TELEORMAN,"CENTRUL DE ÎNGRIJIRE DE ZI PENTRU COPIII ÎN SITUAȚII DE RISC ÎN COMUNA DOBROTEȘTI",157,DOBROTEŞTI,152760,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:12",1232,1207,0,7,18,626,601,0,7,18,598,28,1320,694,38,412,69,52,27
36,TELEORMAN,"CENTRUL MEMORIAL ”MARIN PREDA”",285,SILIŞTEA-GUMEŞTI,154282,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:55",1154,1089,0,20,45,713,648,0,20,45,681,30,1193,481,167,271,172,42,29
36,TELEORMAN,"CLĂDIREA FOSTA ȘCOALĂ GIMNAZIALĂ CIURARI",266,SĂCENI,153972,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:06:11",313,285,0,16,12,233,205,0,16,12,213,20,370,77,39,91,77,3,3
36,TELEORMAN,"CLĂDIREA ŞCOLII ELEMENTARE GRESIA",293,STEJARU,154415,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:41:03",105,88,0,12,5,90,73,0,12,5,88,0,90,2,3,45,36,2,2
36,TELEORMAN,"CLĂDIREA ŞCOLII GENERALE SOCETU",294,STEJARU,154415,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:30",609,546,0,42,21,461,398,0,42,21,444,14,620,158,20,293,120,4,7
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV DOROBANŢU",149,CRÂNGENI,152617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:53",197,192,0,4,1,118,113,0,4,1,110,8,200,82,69,24,13,2,2
