precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"CLĂDIRE DISPENSAR MEDICAL CERNIȘOARA FLORESE",328,BUNILA,89026,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:08:46",143,111,0,24,8,143,111,0,24,8,138,4,166,23,24,0,0,1,100,1,7,2,3
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",241,"ORAŞ SIMERIA",87665,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:40:25",1383,1365,0,16,2,699,681,0,16,2,664,35,1510,811,194,32,10,53,249,5,85,5,31
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",242,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:00",997,983,3,9,2,534,522,1,9,2,514,20,1600,1066,169,14,3,47,157,10,95,2,17
22,HUNEDOARA,"CLUB ŞCOLAR SPORTIV",31,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:13",1270,1254,6,10,0,585,575,0,10,0,568,17,1300,715,165,23,9,73,130,36,84,14,34
22,HUNEDOARA,"CLUB SPORTIV ȘCOLAR",144,"MUNICIPIUL PETROŞANI",86990,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:07:02",937,924,0,12,1,391,378,0,12,1,380,11,1100,709,155,14,4,30,69,5,73,5,25
22,HUNEDOARA,"CLUBUL COPIILOR PETRILA",226,"ORAŞ PETRILA",87077,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:40:01",1275,1268,0,7,0,481,474,0,7,0,460,21,1400,919,222,17,4,46,40,11,95,5,20
22,HUNEDOARA,"CLUBUL COPIILOR ȘI ELEVILOR",182,"MUNICIPIUL VULCAN",87175,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:36:39",1014,1004,1,9,0,447,438,0,9,0,422,25,1100,653,162,14,2,24,115,8,85,4,8
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",84,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:25",1254,1246,1,7,0,614,607,0,7,0,576,38,1400,786,311,19,2,50,86,10,55,15,28
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",83,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:51",1236,1221,3,12,0,544,532,0,12,0,523,21,1300,756,270,13,6,53,75,10,60,12,24
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ȘCOALĂ GENERALĂ NR. 3)",82,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:25",1420,1411,1,8,0,510,502,0,8,0,480,30,1600,1090,250,20,2,29,53,9,74,14,29
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",71,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:36",1257,1250,1,5,1,509,502,1,5,1,479,30,1300,791,230,16,5,39,62,7,63,15,42
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",70,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:54",1139,1131,2,6,0,462,456,0,6,0,439,17,1200,744,193,6,3,39,66,15,68,13,36
