precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RÎPĂ SERGIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BALAN DAN-DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢURCANU IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"SCOALA CU CL. I - VIII DRACSANI",374,SULIŢA,39051,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:27",1066,1056,0,1,9,602,592,0,1,9,588,14,1204,602,23,135,207,223
7,BOTOŞANI,"SCOALA CU CL I-VIII SULITA",373,SULIŢA,39051,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:12:20",1302,1281,0,5,16,755,734,0,5,16,740,15,1400,645,19,160,171,390
