precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONIŢĂ-BARNEA CIPRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","LUCA COSTICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOBANU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPOVICI GHEORGHIŢĂ-SORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"GRĂDINIȚA DUMEŞTII VECHI",301,DUMEŞTI,163734,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:02",343,339,1,3,0,165,162,0,3,0,160,5,400,235,104,25,6,25
39,VASLUI,"GRĂDINIŢA NR. 1 DUMEŞTI",300,DUMEŞTI,163734,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:43",717,703,1,6,7,328,315,0,6,7,313,15,800,472,180,21,61,51
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”MAREȘAL C-TIN PREZAN” DUMEŞTI",299,DUMEŞTI,163734,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:31:52",992,949,0,31,12,469,426,0,31,12,444,25,1016,547,237,25,42,140
39,VASLUI,"ŞCOALA PRIMARĂ VALEA MARE",302,DUMEŞTI,163734,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:13",698,690,0,6,2,354,346,0,6,2,328,26,800,446,193,94,18,23
