precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CELĂU EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CAUNI VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","LIHONI IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BENZAR NICOLAE-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PASCU FLAVIUS-SEVERIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:48",354,342,0,9,3,226,214,0,9,3,216,9,372,145,5,27,135,39,10
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:44",202,192,0,9,1,122,112,0,9,1,113,9,200,78,5,5,50,35,18
37,TIMIŞ,"PRIMĂRIA BETHAUSEN",323,BETHAUSEN,155840,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:23:53",738,695,0,22,21,497,454,0,22,21,463,28,800,309,19,63,241,103,37
37,TIMIŞ,"ȘCOALA PRIMARĂ CLADOVA ȘI GRĂDINIȚA CU PROGRAM NORMAL CLADOVA",324,BETHAUSEN,155840,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:33",365,352,0,9,4,267,254,0,9,4,265,2,396,129,5,15,101,10,134
37,TIMIŞ,"ŞCOALA PRIMARĂ CUTINA",326,BETHAUSEN,155840,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:44:22",249,233,0,9,7,175,159,0,9,7,169,6,300,125,4,15,49,25,76
37,TIMIŞ,"ŞCOALA PRIMARĂ LEUCUŞEŞTI",327,BETHAUSEN,155840,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:29",288,249,0,20,19,288,249,0,20,19,274,14,400,112,7,24,187,39,17
