precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALA REMETEA MARE",529,"REMETEA MARE",158396,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:27:49",1684,1632,11,35,6,1073,1032,0,35,6,1023,35,1751,693,73,401,100,242,3,29,19,156
37,TIMIŞ,"ŞCOALA PRIMARA IANOVA",530,"REMETEA MARE",158396,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:03:16",993,936,29,25,3,672,643,1,25,3,632,27,1100,441,44,363,67,35,3,34,24,62
