precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUCEA GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANGHEL NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","DRUGĂ ILIE-NELU-PARTIDUL NAȚIONAL LIBERAL-voturi"
14,CONSTANŢA,"ANEXA SEDIUL ADMINISTRATIV PRIMĂRIA COMUNEI CASTELU-SALA DE FESTIVITĂȚI 1",384,CASTELU,61121,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:09:37",1207,1189,3,9,6,707,691,1,9,6,672,35,1301,594,16,256,400
14,CONSTANŢA,"ANEXA SEDIUL ADMINISTRATIV PRIMĂRIA COMUNEI CASTELU-SALA DE FESTIVITĂȚI 2",385,CASTELU,61121,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:23",1465,1449,0,5,11,829,813,0,5,11,772,57,1594,765,15,363,394
14,CONSTANŢA,"CĂMINUL CULTURAL NISIPARI-SALA DE SPECTACOLE",386,CASTELU,61121,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:48:25",1665,1601,1,35,28,1113,1050,0,35,28,1098,15,1729,616,79,793,226
