precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL VALEA SILIŞTII",201,ANINOASA,13999,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:19",501,492,1,3,5,344,336,0,3,5,334,10,580,236,13,149,6,166
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ BROŞTENI - ANINOASA, CORP B",199,ANINOASA,13999,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:02:33",1226,1188,0,20,18,803,765,0,20,18,771,32,1288,485,19,297,35,420
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ SLĂNIC",200,ANINOASA,13999,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:07:53",938,903,0,16,19,662,627,0,16,19,634,28,1006,344,32,271,14,317
