precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HÎRLAV COSTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","HÂNGAN ILIE-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","AVRAM MIHĂIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
21,HARGHITA,"CĂMINUL CULTURAL",98,BILBOR,83936,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:17",1144,1128,0,1,15,723,707,0,1,15,708,15,1200,477,106,592,10
21,HARGHITA,"CĂMINUL CULTURAL",97,BILBOR,83936,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:26:41",1038,1013,1,2,22,650,626,0,2,22,636,14,1180,530,145,484,7
