precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
3,ARGEŞ,"CĂMIN CULTURAL CETĂŢENI",291,CETĂŢENI,15402,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:09",541,521,0,12,8,541,521,0,12,8,532,9,880,339,401,44,80,7
3,ARGEŞ,"GRĂDINIŢA LĂICĂI",292,CETĂŢENI,15402,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:14",630,618,1,6,5,435,424,0,6,5,427,8,664,229,342,40,40,5
3,ARGEŞ,"ŞCOALA I-IV VALEA CETĂŢUIA",293,CETĂŢENI,15402,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:52",748,742,0,6,0,468,462,0,6,0,407,61,869,401,258,3,7,139
