precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂNICA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","GRAMA DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRAMA IANCU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"CENTRUL DE ÎNGRIJIRE DE ZI PENTRU COPIII ÎN SITUAȚII DE RISC ÎN COMUNA DOBROTEȘTI",157,DOBROTEŞTI,152760,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:14",1232,1207,0,7,18,626,601,0,7,18,605,21,1320,694,529,17,59
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.1",156,DOBROTEŞTI,152760,3,PART,PRCNCT,P,P_SV,"2024-06-10 19:31:38",1290,1237,0,26,27,726,676,0,26,24,707,19,1356,630,647,24,36
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR. 2",158,DOBROTEŞTI,152760,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:22:45",926,878,0,19,29,545,497,0,19,29,527,18,960,415,479,15,33
