precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORODI VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAN NICULAE-PARTIDUL NAȚIONAL LIBERAL-voturi","TAR NICOLAE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","OSOTZKI LÓRÁNT-PARTIDUL SOCIAL DEMOCRAT-voturi"
32,"SATU MARE","CĂMINUL CULTURAL VEZENDIU",313,TIREAM,139107,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:43",364,352,0,11,1,184,172,0,11,1,169,15,400,216,15,54,90,10
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL",312,TIREAM,139107,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:40:47",162,155,0,6,1,86,79,0,6,1,82,4,196,110,5,20,52,5
32,"SATU MARE","PRIMARIA COMUNEI TIREAM",311,TIREAM,139107,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:33",1427,1399,2,4,22,746,720,0,4,22,705,41,1504,758,54,41,517,93
