precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEPĂDATU LENUŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","SANDU CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRU ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂRUCERU CEZAR-FORȚA DREPTEI-voturi"
18,GALAŢI,"CĂMINUL CULTURAL CUCA",278,CUCA,76139,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:35",865,833,0,10,22,546,514,0,10,22,524,22,939,393,152,260,17,95
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ”SF. GHEORGHE ” CUCA",279,CUCA,76139,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:39",823,785,0,14,24,487,449,0,14,24,477,10,882,395,162,222,14,79
