precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MARE",509,VĂLIŞOARA,91937,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:07:54",154,142,0,7,5,126,114,0,7,5,124,2,165,39,5,29,86,4
22,HUNEDOARA,"CĂMINUL CULTURAL SĂLIŞTIOARA",510,VĂLIŞOARA,91937,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:20:54",232,226,0,5,1,157,151,0,5,1,153,4,255,98,24,36,88,5
22,HUNEDOARA,"CĂMINUL CULTURAL VĂLIŞOARA",508,VĂLIŞOARA,91937,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:30",605,563,0,26,16,414,372,0,26,16,397,14,634,223,27,105,239,26
