precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","STOIAN FLORIAN-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:19",1223,1155,1,16,51,901,834,0,16,51,764,70,1265,431,70,79,439,176
36,TELEORMAN,"SCOALA GIMNAZIALA BRANCENI",116,BRÂNCENI,152252,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:02",1093,1026,0,22,45,784,717,0,22,45,740,44,1130,302,64,62,485,129
